NQUEST,ATTIVP,PARTIME,TUTTANNO,MESILAV,DIMAZ,ORETOT,FERIEDI,FERIENO,PSTRA,ORESTRA,YLM,INTEG,YLNM,NORD
23689,1,1,1,,2,38,2,7,2,,22000,2,0,3
23689,1,1,1,,7,38,2,10,2,,23000,2,0,4
23732,1,1,1,,5,50,2,10,1,8,35000,1,2800,1
23732,1,1,1,,7,36,2,9,2,,27300,2,0,2
23797,1,1,1,,1,50,1,,2,,22000,2,0,1
23798,2,2,3,,1,10,1,,2,,,2,0,1
23821,1,1,1,,2,40,1,,2,,24000,2,0,4
23823,1,1,1,,2,44,1,,2,,19200,2,0,3
23823,1,1,1,,2,40,1,,2,,12000,2,0,4
23823,1,1,1,,2,44,1,,2,,12400,2,0,5
23831,1,1,1,,1,44,1,,2,,18000,2,0,5
23835,1,1,1,,6,42,2,7,2,,51500,2,0,1
23865,1,1,1,,6,40,2,22,2,,45000,2,0,1
23888,1,1,1,,4,20,1,,1,0,26000,2,0,1
23888,1,1,1,,5,36,1,,2,,35000,2,0,2
23951,1,1,1,,6,40,2,10,1,5,26000,2,0,3
23951,1,1,1,,6,36,2,3,2,,23000,1,2000,4
23951,1,1,3,,3,40,1,,2,,1700,2,0,6
24071,1,1,1,,3,35,2,20,1,6,28000,1,5000,1
24080,1,1,1,,7,38,1,,2,,40000,1,700,1
24080,1,2,1,,1,30,1,,2,,18000,2,0,2
24132,1,1,1,,1,40,1,,1,2,25000,2,0,2
24138,1,1,1,,5,40,2,22,1,2,29000,2,0,1
24138,1,1,1,,1,40,1,,2,,20000,2,0,3
24138,1,1,1,,2,40,1,,2,,20000,2,0,4
24144,1,1,1,,3,40,2,10,1,8,20000,2,0,1
24147,1,1,1,,5,40,1,,1,1,40000,1,600,1
24147,1,1,1,,2,26,1,,1,2,33000,2,0,2
24147,2,2,3,,2,15,1,,1,1,1000,2,0,3
24150,1,1,1,,5,35,1,,2,,25000,2,0,1
24170,1,1,1,,3,40,1,,1,2,25000,2,0,1
24170,1,1,1,,7,38,2,12,2,,36000,2,0,2
24194,1,1,1,,5,46,1,,1,6,35000,2,0,1
24194,1,2,1,,2,20,2,15,2,,14500,2,0,2
24195,1,1,2,4,7,36,1,,2,,10000,2,0,3
24195,2,1,2,2,5,40,1,,2,,5000,2,0,3
24195,1,1,1,,5,44,2,2,1,0,20000,2,0,4
24202,1,1,1,,3,5,2,1,2,,,2,0,2
24202,1,1,1,,3,36,2,2,2,,25000,2,0,3
24304,1,1,1,,7,42,2,44,2,,105000,2,0,1
24304,1,1,1,,7,22,1,,1,0,32000,2,0,2
24308,2,2,2,8,1,10,1,,2,,6000,2,0,2
24308,2,2,1,,3,5,1,,2,,6500,2,0,3
24312,1,1,1,,7,19,1,,2,,32000,2,0,1
24312,1,1,1,,7,19,1,,2,,32000,2,0,2
24316,1,1,1,,4,40,1,,2,,20000,2,0,1
24322,1,1,1,,5,36,2,8,1,1,34000,2,0,1
24382,1,1,1,,2,40,1,,2,,20000,2,0,3
24390,1,1,1,,7,40,1,,2,,26000,2,0,2
24409,1,1,1,,7,38,1,,2,,40000,2,0,1
24415,1,1,1,,6,38,2,15,1,2,24000,2,0,1
24415,1,1,1,,3,36,1,,2,,22000,2,0,2
24431,1,1,1,,4,36,2,18,1,1,30000,2,0,1
24431,1,1,1,,3,32,1,,1,1,27000,2,0,2
24434,1,1,1,,3,36,1,,1,6,27000,2,0,1
24434,1,1,2,3,6,40,1,,2,,4000,2,0,2
24438,1,1,1,,3,24,1,,2,,31200,2,0,3
24438,1,1,1,,3,24,1,,2,,28600,2,0,4
24450,1,1,1,,7,50,1,,2,,26000,1,,2
24529,1,1,1,,7,40,1,,1,0,43500,2,0,1
24529,1,1,1,,2,36,2,7,2,,18000,2,0,4
24531,1,2,2,9,4,18,1,,2,,7000,2,0,1
24531,1,1,1,,2,40,1,,2,,15000,2,0,2
24616,1,1,1,,1,44,1,,1,3,45000,2,0,2
24619,1,1,1,,1,42,1,,2,,25000,2,0,3
24619,1,1,1,,5,50,1,,2,,25000,2,0,4
24623,1,1,1,,4,45,2,3,1,6,30000,2,0,1
24623,1,1,2,6,2,44,1,,2,,14000,2,0,2
24624,1,1,1,,5,36,2,1,1,1,24000,2,0,1
