NQUEST,Y,YL,YL1,YL2,YT,YTP,YTP1,YTP2,YTA,YTA1,YTA2,YTA3,YM,YM1,YM2,YM3,YC,YCA,YCA1,YCA2,YCF,YCF1,YCF2,YCF3,YCF4
54765,96775.842433,30000,30000,0,36400,36400,36400,0,0,0,0,0,0,0,0,0,30375.842433,20000,0,20000,10375.842433,745.84243306,1640,7990,0
54766,97972.490681,0,0,0,49140,49140,49140,0,0,0,0,0,0,0,0,0,48832.490681,42000,6000,36000,6832.4906813,3072.4906813,0,3760,0
54796,28585.959924,0,0,0,27950,27950,27950,0,0,0,0,0,0,0,0,0,635.95992399,0,0,0,635.95992399,635.95992399,0,0,0
54819,71440,59000,59000,0,0,0,0,0,0,0,0,0,0,0,0,0,12440,12000,0,12000,440,440,0,0,0
54908,47556,14600,14600,0,17940,17940,17940,0,0,0,0,0,0,0,0,0,15016,14400,0,14400,616,616,0,0,0
54934,81674.268286,0,0,0,37700,37700,37700,0,0,0,0,0,0,0,0,0,43974.268286,27550,0,27550,16424.268286,5984.2682863,5740,4700,0
54949,51463.6,0,0,0,16900,16900,16900,0,0,0,0,0,18000,18000,0,0,16563.6,18000,0,18000,-1436.4,963.6,0,0,2400
54963,56959.065599,0,0,0,37479,37479,37479,0,0,0,0,0,0,0,0,0,19480.065599,18000,0,18000,1480.0655993,1480.0655993,0,0,0
54987,103482,73000,73000,0,0,0,0,0,0,0,0,0,0,0,0,0,30482,10500,6000,4500,19982,1122,18860,0,0
55006,166380.02275,0,0,0,0,0,0,0,0,0,0,0,80000,80000,0,0,86380.022747,74000,0,74000,12380.022747,1300.5874591,0,11079.435288,0
55078,32708.4,27000,27000,0,0,0,0,0,0,0,0,0,0,0,0,0,5708.4,0,0,0,5708.4,444.4,0,5264,0
55079,62562,40000,40000,0,14300,14300,14300,0,0,0,0,0,0,0,0,0,8262,7200,0,7200,1062,242,820,0,0
55084,90553.678557,0,0,0,0,0,0,0,0,0,0,0,64415.34266,65000,584.65734005,0,26138.335897,21650,0,21650,4488.3358975,4488.3358975,0,0,0
55093,45662.3922,0,0,0,33300,33300,30000,3300,0,0,0,0,0,0,0,0,12362.3922,6000,0,6000,6362.3922003,6362.3922003,0,0,0
55094,62858.068578,51000,51000,0,0,0,0,0,0,0,0,0,0,0,0,0,11858.068578,9600,0,9600,2258.0685781,2258.0685781,0,0,0
55099,50676,32180,32000,180,15600,15600,15600,0,0,0,0,0,0,0,0,0,2896,2500,0,2500,396,396,0,0,0
55104,22648,18000,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,4648,3900,0,3900,748,748,0,0,0
55118,46641.089905,46300,46300,0,0,0,0,0,0,0,0,0,0,0,0,0,341.0899055,0,0,0,341.0899055,341.0899055,0,0,0
55147,61905.899339,0,0,0,20800,20800,20800,0,0,0,0,0,23700.496372,0,0,23700.496372,17405.402967,15441.906343,0,15441.906343,1963.4966242,1963.4966242,0,0,0
55205,102070,0,0,0,0,0,0,0,0,0,0,0,60000,0,0,60000,42070,12050,0,12050,30020,1320,28700,0,0
55209,22670,0,0,0,18070,18070,18070,0,0,0,0,0,0,0,0,0,4600,4600,0,4600,0,0,0,0,0
55212,27000,0,0,0,9000,9000,9000,0,0,0,0,0,0,0,0,0,18000,18000,0,18000,0,0,0,0,0
55221,43332,26000,26000,0,0,0,0,0,0,0,0,0,10000,10000,0,0,7332,7200,0,7200,132,132,0,0,0
55272,15400,0,0,0,15400,8400,8400,0,7000,0,0,7000,0,0,0,0,0,0,0,0,0,0,0,0,0
55273,25774,0,0,0,19400,23400,23400,0,-4000,0,0,-4000,0,0,0,0,6374,6000,0,6000,374,374,0,0,0
55275,25600,0,0,0,0,0,0,0,0,0,0,0,22000,22000,0,0,3600,3600,0,3600,0,0,0,0,0
55295,13800,0,0,0,7800,7800,7800,0,0,0,0,0,0,0,0,0,6000,6000,0,6000,0,0,0,0,0
55298,75070,65000,65000,0,0,0,0,0,0,0,0,0,0,0,0,0,10070,6000,0,6000,4070,880,7380,1410,5600
55300,15100,0,0,0,9100,9100,9100,0,0,0,0,0,0,0,0,0,6000,6000,0,6000,0,0,0,0,0
55308,19800,0,0,0,15600,15600,15600,0,0,0,0,0,0,0,0,0,4200,4200,0,4200,0,0,0,0,0
55322,60878.651769,52090.866526,50000,2090.8665263,0,0,0,0,0,0,0,0,0,0,0,0,8787.7852432,8400,0,8400,387.78524321,387.78524321,0,0,0
55333,62599.876039,40000,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,22599.876039,7200,0,7200,15399.876039,6637.5382627,8762.3377765,0,0
55338,180392,0,0,0,37050,37050,37050,0,0,0,0,0,96000,0,0,96000,47342,30600,0,30600,16742,1232,0,15510,0
55341,92472,0,0,0,68100,48100,48100,0,20000,0,20000,0,0,0,0,0,24372,14400,0,14400,9972,572,0,9400,0
55342,51672,30000,30000,0,0,0,0,0,0,0,0,0,21000,0,0,21000,672,100,0,100,572,572,0,0,0
55349,28107.458764,20000,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,8107.4587641,7200,0,7200,907.4587641,907.4587641,0,0,0
55358,21700,0,0,0,16900,16900,16900,0,0,0,0,0,600,0,0,600,4200,4200,0,4200,0,0,0,0,0
55362,81100,0,0,0,27770,27770,27770,0,0,0,0,0,25000,30000,5000,0,28330,23250,0,23250,5080,1320,0,3760,0
55372,27676,27500,27300,200,0,0,0,0,0,0,0,0,0,0,0,0,176,0,0,0,176,176,0,0,0
55375,28600,28600,28600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55376,33800,29000,29000,0,0,0,0,0,0,0,0,0,0,0,0,0,4800,4800,0,4800,0,0,0,0,0
55379,40182,34000,34000,0,0,0,0,0,0,0,0,0,0,0,0,0,6182,6000,0,6000,182,88,0,94,0
55387,16500,0,0,0,11700,11700,11700,0,0,0,0,0,0,0,0,0,4800,4800,0,4800,0,0,0,0,0
55393,15000,15000,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55399,26700,0,0,0,19500,19500,19500,0,0,0,0,0,0,0,0,0,7200,7200,0,7200,0,0,0,0,0
55406,10200,0,0,0,7800,7800,7800,0,0,0,0,0,0,0,0,0,2400,2400,0,2400,0,0,0,0,0
55425,50496.122104,0,0,0,49920,49920,49920,0,0,0,0,0,0,0,0,0,576.12210443,0,0,0,576.12210443,576.12210443,0,0,0
55430,52058,0,0,0,32890,32890,32890,0,0,0,0,0,10000,11000,1000,0,9168,9800,7700,2100,-632,968,0,0,1600
55439,12000,0,0,0,12000,12000,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55538,31663.04937,9600,9600,0,16900,16900,16900,0,0,0,0,0,0,0,0,0,5163.0493702,4800,0,4800,363.04937023,363.04937023,0,0,0
55542,21800,0,0,0,18200,18200,18200,0,0,0,0,0,0,0,0,0,3600,3600,0,3600,0,0,0,0,0
55555,34600,18000,18000,0,13000,13000,13000,0,0,0,0,0,0,0,0,0,3600,3600,0,3600,0,0,0,0,0
55562,18000,0,0,0,18000,0,0,0,18000,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55586,13192.641408,0,0,0,7800,7800,7800,0,0,0,0,0,0,0,0,0,5392.6414081,4800,0,4800,592.64140808,124.93386354,467.70754454,0,0
55602,320,0,0,0,320,320,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55620,53900.106589,0,0,0,0,0,0,0,0,0,0,0,50000,0,0,50000,3900.1065886,0,0,0,3900.1065886,264,3636.1065886,0,0
55629,2000,0,0,0,2000,0,0,0,2000,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
55636,8450,0,0,0,8450,8450,8450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55639,10900,0,0,0,9100,9100,9100,0,0,0,0,0,0,0,0,0,1800,1800,0,1800,0,0,0,0,0
55642,22940.8,0,0,0,13200,0,0,0,13200,13200,0,0,0,0,0,0,9740.8,9600,2400,7200,140.8,140.8,0,0,0
55649,286264,0,0,0,0,0,0,0,0,0,0,0,280000,0,0,280000,6264,6000,0,6000,264,264,0,0,0
55660,37332,0,0,0,19200,19200,19200,0,0,0,0,0,0,0,0,0,18132,18000,0,18000,132,132,0,0,0
55690,7300,0,0,0,3700,3700,1300,2400,0,0,0,0,0,0,0,0,3600,3600,0,3600,0,0,0,0,0
55692,43496,0,0,0,0,0,0,0,0,0,0,0,33800,10000,1200,25000,9696,7200,0,7200,2496,616,0,1880,0
55694,28800,25200,25200,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,3600,0,3600,0,0,0,0,0
55743,39407.206975,3000,3000,0,0,0,0,0,0,0,0,0,29105.044396,29105.044396,0,0,7302.1625787,6000,0,6000,1302.1625787,1306.1625787,0,0,4
55749,23878.426132,8000,8000,0,12000,12000,12000,0,0,0,0,0,0,0,0,0,3878.4261318,3600,0,3600,278.42613176,278.42613176,0,0,0
55773,43300,0,0,0,35100,35100,35100,0,0,0,0,0,0,0,0,0,8200,6000,0,6000,2200,2200,0,0,0
55774,54388,30000,30000,0,19500,19500,19500,0,0,0,0,0,0,0,0,0,4888,5200,0,5200,-312,88,0,0,400
