NQUEST,NORD,YL2,YL1,YTP1,YTP2,YTA1,YTA2,YM3,YL,YTP,YTA3,YTA,YT,YM1,YM2,YM,YCA1,YCA2,YCA,YCF1,YCF2,YCF3,YCF4,YCF,YC,Y
7886,3,0,0,0,0,0,900,0,0,0,0,900,900,0,0,0,0,0,0,0,0,0,0,0,0,900
7895,1,0,42000,0,0,0,0,0,42000,0,0,0,0,0,0,0,0,7200,7200,610.43453454,0,0,0,610.43453454,7810.4345345,49810.434535
8332,1,0,0,9100,0,0,0,0,0,9100,0,0,9100,0,0,0,0,12000,12000,0,0,0,0,0,12000,21100
8481,1,0,5000,0,0,0,0,0,5000,0,-2000,-2000,-2000,0,0,0,0,1196.5479646,1196.5479646,1320,0,0,0,1320,2516.5479646,5516.5479646
8754,1,0,20400,0,0,0,0,0,20400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20400
8868,1,0,26000,0,0,0,0,0,26000,0,0,0,0,0,0,0,0,11900,11900,4400,0,0,0,4400,16300,42300
8868,2,40000,50350,0,0,0,0,0,90350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90350
8868,3,0,42000,0,0,0,0,0,42000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42000
8915,1,0,0,33600,4000,0,0,0,0,37600,0,0,37600,0,0,0,9000,16800,25800,880,0,2350,0,3230,29030,66630
8915,3,0,22000,0,0,0,0,0,22000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22000
8952,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000,12000,118.8,0,0,1480,-1361.2,10638.8,10638.8
8952,2,0,0,14690,0,0,0,0,0,14690,0,0,14690,0,0,0,0,0,0,0,0,0,0,0,0,14690
8952,3,0,0,9100,0,0,0,0,0,9100,0,0,9100,0,0,0,0,0,0,0,0,0,0,0,0,9100
8954,1,0,25000,0,0,0,0,0,25000,0,-5000,-5000,-5000,0,0,0,600,15600,16200,643.20631439,0,12596,0,13239.206314,29439.206314,49439.206314
8954,2,0,26300,0,0,0,0,0,26300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26300
8955,1,0,0,58500,0,0,0,0,0,58500,0,0,58500,0,0,0,0,16800,16800,3080,12300,0,0,15380,32180,90680
9248,1,0,43000,0,0,0,0,0,43000,0,0,0,0,0,0,0,0,6050,6050,5320.314145,0,14570,0,19890.314145,25940.314145,68940.314145
9405,1,0,0,10946,0,0,0,0,0,10946,1500,1500,12446,0,0,0,0,3000,3000,0,0,0,0,0,3000,15446
9411,1,0,0,26000,0,24000,0,0,0,26000,0,24000,50000,0,0,0,0,0,0,440,0,0,0,440,440,50440
9526,1,0,0,0,0,0,0,0,0,0,0,0,0,100000,1704.9442475,98295.055753,0,39000,39000,440,0,7520,12000,-4040,34960,133255.05575
11940,1,0,0,32500,0,0,0,0,0,32500,0,0,32500,0,0,0,0,18400,18400,704,0,0,0,704,19104,51604
11940,2,0,0,5200,0,0,0,0,0,5200,0,0,5200,0,0,0,0,0,0,0,0,0,0,0,0,5200
11972,1,0,0,0,0,0,0,0,0,0,0,0,0,5000,5000,0,0,9800,9800,6444.3736822,0,0,0,6444.3736822,16244.373682,16244.373682
11972,2,0,0,0,0,0,0,0,0,0,0,0,0,5000,5000,0,0,0,0,0,0,0,0,0,0,0
11972,3,0,0,0,0,0,0,0,0,0,0,0,0,5000,5000,0,0,0,0,0,0,0,0,0,0,0
20010,1,0,0,13000,0,0,0,0,0,13000,0,0,13000,0,0,0,7000,22000,29000,250.6102792,0,9909.9659681,0,10160.576247,39160.576247,52160.576247
20010,2,0,0,15600,0,0,0,0,0,15600,0,0,15600,0,0,0,0,0,0,0,0,0,0,0,0,15600
20010,3,0,18000,0,0,0,0,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000
20010,4,0,0,7800,0,0,0,0,0,7800,0,0,7800,0,0,0,0,0,0,0,0,0,0,0,0,7800
20019,1,0,0,15600,0,0,0,0,0,15600,-1500,-1500,14100,0,0,0,6000,7200,13200,133.42002954,3963.3184766,65.8,0,4162.5385061,17362.538506,31462.538506
20020,1,1000,30000,0,0,0,0,0,31000,0,0,0,0,0,0,0,0,7800,7800,220,0,2820,0,3040,10840,41840
20020,2,0,17000,0,0,2500,0,0,17000,0,0,2500,2500,0,0,0,0,0,0,0,0,0,0,0,0,19500
20028,1,0,0,26000,0,0,0,0,0,26000,0,0,26000,0,0,0,0,15050,15050,18772.923967,0,0,0,18772.923967,33822.923967,59822.923967
20033,1,0,0,15600,0,0,0,0,0,15600,0,0,15600,0,0,0,0,0,0,19.796103702,0,0,0,19.796103702,19.796103702,15619.796104
20047,1,0,0,65000,0,0,0,0,0,65000,0,0,65000,0,0,0,8000,26400,34400,1889.0618459,18205.061731,60045.584818,0,80139.708395,114539.7084,179539.7084
20047,3,0,24000,0,0,0,0,0,24000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24000
20047,4,0,24000,0,0,0,0,0,24000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24000
20154,1,0,50000,0,0,0,0,0,50000,0,0,0,0,0,0,0,0,14400,14400,572,0,1880,0,2452,16852,66852
20154,2,2000,30000,0,0,0,0,0,32000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32000
20154,3,2100,26000,0,0,0,0,0,28100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28100
20169,1,0,0,23400,0,0,0,0,0,23400,0,0,23400,0,0,0,0,0,0,0,0,0,0,0,0,23400
20170,1,0,0,26000,0,0,0,0,0,26000,0,0,26000,0,0,0,0,0,0,1080.2882553,0,0,0,1080.2882553,1080.2882553,27080.288255
20170,2,0,0,23400,0,0,0,0,0,23400,0,0,23400,0,0,0,0,0,0,0,0,0,0,0,0,23400
20174,1,0,0,39000,0,0,0,0,0,39000,0,0,39000,0,0,0,0,9600,9600,684.56519962,4100,18800,0,23584.5652,33184.5652,72184.5652
20178,1,0,33000,0,0,0,0,0,33000,0,0,0,0,0,0,0,0,850,850,6330.6246571,9226.661874,512.22493801,0,16069.511469,16919.511469,49919.511469
20178,2,0,0,16900,0,0,0,0,0,16900,0,0,16900,0,0,0,0,0,0,0,0,0,0,0,0,16900
20179,1,1200,36000,0,0,0,0,0,37200,0,0,0,0,0,0,0,0,14400,14400,660,410,3290,0,4360,18760,55960
20179,2,0,35000,0,0,0,0,0,35000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35000
20223,1,0,0,0,0,0,0,0,0,0,0,0,0,12000,181.84096796,11818.159032,0,9600,9600,414.31261742,0,5562.1581717,0,5976.4707891,15576.470789,27394.629821
20223,2,0,0,13000,0,0,0,0,0,13000,0,0,13000,0,0,0,0,0,0,0,0,0,0,0,0,13000
20223,3,0,0,0,0,0,0,0,0,0,0,0,0,3276.3434604,0,3276.3434604,0,0,0,0,0,0,0,0,0,3276.3434604
20231,1,0,0,0,0,0,0,0,0,0,0,0,0,37000,935.48294869,36064.517051,0,16173.164416,16173.164416,1728.0510111,0,2885.8784924,0,4613.9295035,20787.093919,56851.61097
20241,1,0,0,25440,0,0,0,0,0,25440,0,0,25440,0,0,0,0,12000,12000,264,656,0,0,920,12920,38360
20258,1,1728,24700,0,0,0,0,0,26428,0,0,0,0,0,0,0,0,0,0,836,0,1316,0,2152,2152,28580
20284,1,0,0,0,0,0,0,0,0,0,0,0,0,30000,0,30000,0,9600,9600,1056,0,0,4000,-2944,6656,36656
20284,2,2500,20000,0,0,0,0,0,22500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22500
20285,1,0,0,29042,0,0,0,0,0,29042,0,0,29042,0,0,0,0,20400,20400,601.2715048,1185.9548273,559.39756218,0,2346.6238943,22746.623894,51788.623894
20297,1,0,20000,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,1254,0,0,0,1254,1254,21254
20297,2,0,0,14300,0,0,0,0,0,14300,0,0,14300,0,0,0,0,0,0,0,0,0,0,0,0,14300
20372,1,0,33000,0,0,0,0,0,33000,0,0,0,0,0,0,0,0,13600,13600,132,0,658,0,790,14390,47390
20372,3,0,10000,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000
20375,1,0,0,35100,0,0,0,0,0,35100,0,0,35100,0,0,0,0,4800,4800,660,0,940,0,1600,6400,41500
20380,1,0,0,13000,0,0,0,0,0,13000,0,0,13000,0,0,0,0,0,0,0,0,0,0,0,0,13000
20393,1,3000,42000,0,0,0,0,0,45000,0,0,0,0,0,0,0,0,15400,15400,726,0,0,0,726,16126,61126
20499,1,0,0,22100,0,0,0,0,0,22100,0,0,22100,0,0,0,0,5300,5300,3320.703463,2818.5408205,0,0,6139.2442835,11439.244284,33539.244284
20499,2,0,0,11700,0,0,0,0,0,11700,0,0,11700,0,0,0,0,0,0,0,0,0,0,0,0,11700
20704,1,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,100000,0,12000,12000,2284.5285436,774.59841882,4978.2610147,0,8037.3879771,20037.387977,120037.38798
20704,2,0,0,18200,0,0,0,0,0,18200,0,0,18200,0,0,0,0,0,0,0,0,0,0,0,0,18200
20704,3,0,24000,0,0,0,0,0,24000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24000
20711,1,0,0,39000,0,0,0,0,0,39000,0,0,39000,0,0,0,0,30000,30000,572,0,0,0,572,30572,69572
20711,3,0,33000,0,0,0,0,0,33000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33000
20711,4,0,0,0,0,0,0,0,0,0,0,0,0,30000,3000,27000,0,0,0,0,0,0,0,0,0,27000
20711,5,0,18000,0,0,0,0,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000
20711,6,0,9000,0,0,0,0,0,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000
20729,1,0,45000,0,0,0,0,0,45000,0,0,0,0,0,0,0,0,15000,15000,861.40711275,0,0,0,861.40711275,15861.407113,60861.407113
20729,2,0,32000,0,0,0,0,0,32000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32000
