NQUEST,ANABIT,GODABIT,UNIPRO,QUOPRO,ASCLIMA,ASSISMA,ANPOSS,PRO1,PRO2,PRO3,PRO4,PRO5,PRO6,PRO7,PRO8,PRO9,POSS1,IMPACQ2,FITTONOP,TFITTONOP,TFITTO,TIPOAFF2,DFITTOM,TFITTOM,PROPRIET2,TFITIMP,RITAFF,SUPAB,ANCOSTR,BAGNI,VALABIT,TRASFAB,TRASFAB_MOT,ALTRAB,NALTRAB,ALTRFAB,NALTRFAB,TERAGR,NTERAGR,TERNAGR,NTERNAGR,DETRIMM1,DETRIMM2,DETRIMM3,DETRIMM4,DETRIMM5,DETRIMM6,DETRIMM7,PROBCLIMA,REDCLIMA,PATCLIMA,ANTIC,ANTICIPI,DEBITA1,NDEBITA1,FONDGAR,DEBITA2,NDEBITA2,DEBITC,NDEBITC,DEBITD,NDEBITD,DEBITE,NDEBITE,DEBITF,NDEBITF,DEBITG,NDEBITG,CHIFINMUT1,CHIFINCONS1,RITARDO,CREDIT,TCREDIT,DEBIT,TDEBIT,MUTUOR2_BIS,FMUTRIF2_BIS,MUTUOE2_BIS,MUTUORIF,REAPMUT2_BIS,MUTUORIC2_BIS,PARMUTUO1,PARMUTUO2,PARMUTES1,PARMUTES2,PARFRA1,PARFRA2,NUMFRA1,NUMFRA2,PARANN,PARDEC,PARDUR,PARDUR_1,PARTAS,PARPOSS,PARPOSSCHI,DOCSEZD
32887,2004,1,1,,2,2,2004,1,1,0,0,0,0,0,0,0,1,600000,,,,,,,,2000,,480,1974,2,700000,2,,1,2,1,2,2,,2,,2,2,2,2,2,2,2,2,4,4,2,,2,,,1,1,2,,2,,2,,2,,2,,1,,2,2,,2,,1,1,1,,,2,,,,,,,,,0,,,,,,,2
33036,1961,2,,,,,,,,,,,,,,,,,,,60,4,1,200,4,,2,65,1950,1,80000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,10,3,3,2,,,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
33038,1984,1,1,,2,2,1984,1,0,0,0,0,0,0,0,0,3,80000,,,,,,,,500,,80,1900,1,160000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,60,2,2,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
33303,1967,4,,,,,,,,,,,,,,,,,,,,,,,1,500,,100,1950,1,200000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,75,3,3,2,,2,,,2,,2,,2,,2,,1,1,2,,,1,2,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
33335,1985,1,1,,2,2,1998,1,1,0,0,0,0,0,0,0,4,60000,,,,,,,,600,,115,1983,2,130000,2,,2,,2,,1,1,2,,2,2,2,2,2,2,2,20,2,2,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
33451,2019,2,,,,,,,,,,,,,,,,,,,700,1,1,700,2,,2,180,1980,2,400000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,0,,,2,,,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
33479,1969,1,1,,2,2,1969,1,1,0,0,0,0,0,0,0,1,60000,,,,,,,,800,,100,1967,2,400000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,0,,,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
33839,1981,1,1,,2,2,1981,1,0,0,0,0,0,0,0,0,1,50000,,,,,,,,550,,110,1980,1,250000,2,,2,,1,1,2,,2,,2,2,2,2,2,2,2,5,4,4,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
33882,1996,1,1,,2,2,1996,1,1,0,0,0,0,0,0,0,1,150000,,,,,,,,500,,170,1995,2,150000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,0,,,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
33937,1984,4,,,,,,1,0,0,0,0,0,0,0,0,,,,,,,,,1,700,,120,1983,2,300000,2,,2,,1,1,2,,2,,2,2,2,2,2,2,2,10,3,3,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
