NQUEST,NORD,INTPER,NATTIVITA,PARTIME,CONTRATT,TUTTANNO,MESILAV,ATTEST,DIMAZ,ORETOT,PSTRA,ORESTRA,YLM,INTEG,YLNM,YLNMC,CONTAZ2_1,CONTAZ2_2,AMMCONTAZ_1,AMMCONTAZ_1_1,AMMCONTAZ_2,AMMCONTAZ_2_1
635112,1,1,1,1,1,1,,1,8,38,1,2,26000,1,1155,,2,2,,,,
635112,2,1,1,1,1,1,,1,5,41,1,1,19600,1,1500,,2,2,,,,
635112,3,1,1,2,2,2,5,1,2,25,2,,3500,2,,,2,2,,,,
635112,4,1,1,2,2,1,,1,4,25,1,2,9000,2,,,2,2,,,,
635513,1,1,1,1,1,1,,1,2,30,2,,15000,2,,,2,2,,,,
637701,4,1,1,1,1,1,,1,3,40,2,,16000,2,,,2,2,,,,
639013,1,1,1,2,2,3,,1,1,15,2,,5800,2,,,2,2,,,,
639331,1,1,1,1,1,1,,1,2,40,1,6,18000,2,,,2,2,,,,
639971,3,2,1,1,1,1,,1,1,42,2,,14000,2,,,2,2,,,,
649054,1,2,1,1,1,1,,1,2,43,1,3,24000,1,500,,2,2,,,,
649089,1,1,1,1,1,1,,1,6,48,2,,23000,1,1320,,1,2,720,,,
649089,3,1,1,1,2,1,,1,1,40,2,,11700,2,,,2,2,,,,
650091,3,1,1,2,2,3,,1,8,20,2,,6000,2,,,2,2,,,,
670362,3,1,1,1,1,1,,1,8,36,2,,16500,2,,,2,2,,,,
670485,2,1,1,1,1,2,7,1,4,36,2,,8400,2,,,2,2,,,,
670857,2,1,1,1,1,1,,1,2,40,2,,17000,2,,,2,2,,,,
671152,1,1,1,1,1,1,,1,8,36,2,,25000,2,,,2,2,,,,
671206,1,1,1,1,1,1,,1,7,40,2,,33000,1,1700,,2,2,,,,
671206,2,1,1,2,1,1,,1,2,27,1,10,19000,2,,,1,2,,1,,
671480,1,1,1,1,1,1,,1,2,40,2,,25000,2,,,2,2,,,,
671698,2,2,1,1,1,1,,1,5,40,1,8,25500,2,,,2,2,,,,
671841,1,2,1,1,1,1,,1,6,40,2,,40000,1,1270,Messa aziendale,1,1,,1,,1
671841,2,2,1,1,1,1,,1,8,36,2,,21000,1,1600,,2,2,,,,
671841,3,2,1,2,2,2,1,1,1,10,2,,1000,2,,,2,2,,,,
671893,1,1,1,1,1,1,,1,4,40,2,,19300,1,1270,Mensa,2,2,,,,
671893,2,1,1,1,1,1,,1,5,40,2,,21900,1,260,,2,2,,,,
671893,3,1,1,1,1,1,,1,6,40,2,,24400,1,1270,Mensa,2,2,,,,
