NQUEST,NORD,INTPER,NATTIVITA,TIPOPEN,ENTEPEN,DECOR,TPENS,MESIPEN,ARRET,TARRET,QUOTAPE
55147,1,1,1,1,1,2010,430,13,2,,50
55147,2,1,1,1,1,1995,1320,13,2,,60
55636,1,1,1,1,1,2022,2000,5,2,,100
55636,2,1,1,1,1,2022,1600,13,2,,95
55774,1,1,1,3,1,1995,800,13,2,,
56563,1,1,1,1,1,1990,1000,13,2,,80
56563,2,2,1,1,1,1992,800,13,2,,90
56582,1,1,1,1,1,2021,1090,13,2,,70
56582,2,1,1,1,1,2012,1390,13,2,,100
56677,1,1,1,1,1,1970,1167,13,2,,80
56677,2,1,1,1,1,1970,1300,13,2,,80
56721,1,1,1,1,1,2021,1070,13,2,,10
56721,2,1,1,1,1,2008,1200,13,2,,1
56761,1,3,1,1,1,1991,1600,13,2,,80
56761,2,2,1,1,1,1985,550,13,2,,80
56762,1,1,1,1,1,1993,1800,13,2,,85
57042,1,1,1,1,1,2003,600,12,2,,40
57138,1,1,1,1,1,2013,1600,13,2,,85
57138,1,1,2,3,1,2016,550,13,2,,
57621,1,1,1,1,1,2018,1650,13,2,,75
57621,2,1,1,1,1,2002,1300,13,2,,100
57670,1,1,1,1,1,2021,1250,13,2,,60
57779,1,1,1,1,1,2007,1500,13,2,,80
60078,1,1,1,5,1,2004,800,12,2,,
91095,1,1,1,1,1,2022,2000,9,2,,25
111052,1,1,1,1,1,1996,800,13,2,,90
111052,2,2,1,1,1,2007,1200,13,2,,100
178001,1,1,1,1,1,2007,1300,13,2,,80
213440,1,1,1,1,1,2007,1600,13,2,,75
224048,1,1,1,2,1,2014,650,13,1,200,
230029,1,1,1,1,1,1995,1250,13,2,,80
230029,2,1,1,1,1,1998,600,13,2,,40
230037,1,2,1,1,1,2004,1600,13,2,,80
230037,2,2,1,1,1,2000,1690,13,2,,80
237003,1,1,1,1,1,2010,1750,13,2,,85
237003,2,1,1,1,1,2003,1800,13,2,,85
244013,1,2,1,1,1,2007,860,13,2,,60
244013,2,2,1,1,1,2006,780,13,2,,60
244058,2,2,1,5,1,2020,300,13,2,,
250010,1,1,1,3,1,2009,530,12,2,,
250039,1,1,1,3,1,1984,700,12,2,,
282083,1,1,1,1,1,2005,520,13,2,,50
282083,1,1,2,3,1,2012,240,13,2,,
310002,1,2,1,1,1,2000,820,14,2,,90
310005,1,1,1,3,1,2014,950,14,2,,
321009,1,1,1,1,1,1993,1500,13,2,,80
321009,2,2,1,1,1,1991,560,13,2,,50
333081,1,1,1,1,1,1998,3000,13,2,,65
387029,1,1,1,1,1,2003,2500,13,2,,80
500090,1,1,1,1,1,1997,1100,13,2,,60
500176,1,1,1,1,1,2006,1600,13,2,,100
500674,1,1,1,1,1,1999,2000,13,2,,30
500674,1,1,2,3,1,2019,800,13,2,,
501082,1,1,1,1,1,2012,1500,13,2,,100
501082,2,2,1,1,1,2020,1100,13,2,,100
501694,1,1,1,1,1,2015,1200,13,2,,80
501694,2,1,1,1,1,2011,900,13,2,,75
502060,1,1,1,1,1,2021,1400,13,2,,60
502355,1,1,1,1,1,2022,700,3,2,,50
502364,1,1,1,3,1,2014,1500,12,2,,
503560,1,1,1,1,1,2010,1500,13,2,,90
503561,1,1,1,1,1,2001,2250,13,2,,70
503561,2,2,1,1,1,1984,850,13,2,,80
503593,1,1,1,1,1,2018,1490,13,2,,80
503674,1,1,1,1,1,2006,3300,13,2,,80
503674,1,1,2,4,2,2006,148,13,2,,
503674,2,1,1,1,1,2017,1700,13,2,,100
503931,1,1,1,1,1,2011,2000,13,2,,80
503931,2,1,1,1,1,2012,2000,13,2,,80
504157,1,1,1,1,1,2020,1300,13,2,,50
504363,1,1,1,1,1,1998,1260,13,1,500,80
504363,1,1,2,5,1,2021,900,12,1,5000,
504395,1,1,1,1,1,2019,1700,13,2,,80
504395,1,1,2,3,1,1993,200,13,2,,
504584,1,1,1,1,1,2015,600,13,2,,50
504584,1,1,2,3,1,1997,400,12,2,,
504730,1,1,1,1,1,2008,940,13,2,,33
504730,2,1,1,1,1,2008,700,13,2,,33
504792,1,1,1,1,1,2005,1600,13,2,,100
504792,2,2,1,1,1,2003,1300,13,2,,100
505022,1,2,1,1,1,2020,1200,13,2,,60
505228,1,1,1,1,1,2011,1600,13,2,,80
505228,1,1,2,3,1,2001,600,13,2,,
505517,1,1,1,1,1,2010,900,13,2,,70
505517,2,2,1,1,1,2010,1200,13,2,,70
505525,1,1,1,1,1,1995,1100,13,2,,70
505525,2,1,1,1,1,2006,900,13,2,,70
505534,1,1,1,1,1,2011,1400,13,2,,70
505594,1,1,1,1,1,2010,865,13,2,,70
505594,2,1,1,1,1,2021,930,13,2,,70
505606,1,1,1,1,1,2010,1200,13,2,,80
505606,1,1,2,3,1,2014,1800,13,2,,
505681,1,1,1,3,1,2022,650,13,2,,
505806,1,1,1,1,1,2015,1200,14,2,,80
505818,2,1,1,1,1,2022,1100,13,2,,90
506107,1,2,1,1,1,2014,1100,13,2,,50
506107,2,2,1,1,1,2022,1350,13,2,,70
506112,1,1,1,1,1,1991,490,13,2,,50
506112,1,1,2,3,1,2016,510,13,2,,
506402,1,1,1,1,1,2008,500,13,2,,70
506402,1,1,2,3,1,2014,500,13,2,,
506418,1,1,1,1,1,1998,510,14,2,,60
506418,1,1,2,3,1,2018,240,14,2,,
506565,1,1,1,1,1,2006,1350,13,2,,70
506565,2,2,1,1,1,2011,2450,13,2,,90
506736,1,1,1,1,1,1996,1500,13,2,,100
506736,2,1,1,1,1,2000,1800,13,2,,100
506799,1,1,1,1,1,2012,1500,13,2,,80
506799,2,1,1,1,1,1980,1500,13,2,,80
507182,1,1,1,1,1,2005,1600,13,2,,80
507182,2,1,1,1,1,2001,140,14,2,,15
507282,2,1,1,1,1,2022,1600,13,2,,70
507303,1,1,1,1,1,2004,1100,13,2,,100
507303,2,2,1,1,1,1999,1000,13,2,,100
507316,1,1,1,1,1,1994,1400,13,2,,100
507316,2,1,1,1,1,2000,650,13,2,,70
507319,1,1,1,1,1,1996,950,13,2,,100
507336,1,1,1,1,1,2003,1200,13,2,,90
507336,2,2,1,1,1,2008,2300,13,2,,100
507419,1,1,1,1,1,2004,1738,13,2,,90
507444,1,1,1,3,1,2014,330,13,2,,
507640,1,1,1,1,1,2004,1174,13,2,,46
507728,1,2,1,1,1,2005,1570,13,2,,80
507728,2,2,1,5,1,2017,409,13,2,,
507905,1,1,1,1,1,1997,1650,13,2,,80
507908,1,1,1,3,1,2015,1500,13,2,,
507913,1,1,1,3,1,1993,563,13,2,,
507924,2,1,1,1,1,2008,1000,13,2,,80
508861,1,1,1,1,1,2005,1200,13,2,,50
508861,1,1,2,3,1,2020,500,13,2,,
509054,1,1,1,1,1,1998,710,13,2,,70
509054,2,1,1,1,1,1997,570,13,2,,80
509057,1,1,1,1,1,2014,1200,13,2,,80
509057,2,1,1,5,1,2022,238,5,2,,
509071,1,1,1,1,1,1997,1700,13,2,,95
509550,1,1,1,1,1,2015,1880,12,2,,95
509869,1,1,1,1,1,2007,900,12,2,,70
510109,1,1,1,3,1,2014,700,13,2,,
510433,1,1,1,1,1,2021,1200,13,2,,80
510433,2,1,1,1,1,2011,1300,13,2,,90
511074,1,1,1,3,1,2020,990,12,2,,
511160,1,1,1,1,1,2000,1000,13,2,,30
511160,2,1,1,1,1,2000,700,13,2,,70
511260,1,1,1,1,1,2010,1900,13,2,,85
511424,2,1,1,1,1,2001,1600,13,2,,90
511474,1,1,1,3,1,2019,1000,13,2,,
511494,1,1,1,1,1,1999,500,12,2,,40
511495,1,1,1,1,1,2005,1000,12,2,,60
511501,1,1,1,3,1,2018,900,12,2,,
511629,1,1,1,1,1,2003,1500,13,2,,80
511757,1,1,1,1,1,2019,1380,13,2,,70
511757,3,1,1,3,1,2010,630,12,2,,
512211,1,1,1,3,1,1977,460,13,2,,
512368,1,1,1,1,1,2004,780,13,2,,70
512368,3,1,1,5,1,2005,265,13,2,,
512372,1,1,1,3,1,2017,720,13,2,,
512457,1,1,1,5,1,2003,320,13,2,,
512457,2,1,1,3,1,2022,400,6,2,,
512843,1,1,1,1,1,2020,1350,13,2,,70
512921,1,2,1,1,1,2013,1700,13,2,,80
512921,2,2,1,1,1,2017,1900,13,2,,75
512963,1,1,1,1,1,1991,1500,13,2,,100
512963,2,1,1,1,1,1999,410,13,2,,30
513131,1,1,1,3,1,2021,1300,12,2,,
513131,1,1,2,1,1,1985,600,12,2,,90
513369,1,1,1,1,1,1990,980,13,2,,80
513369,1,1,2,3,1,2017,600,13,2,,
513384,1,1,1,1,1,1990,1120,13,2,,85
513384,2,2,1,1,1,2002,810,13,2,,60
611412,2,2,1,1,1,2022,3800,13,1,24000,80
611441,1,2,1,1,1,2020,1500,13,2,,90
611441,2,2,1,1,1,2019,1750,13,2,,95
611453,1,1,1,1,1,1995,2769,13,2,,80
