NQUEST,CTIT,NCTIT,ICTIT,BANCHE,SCOPER,UTSCOPER,VMSCOPER,FSCOPER,FSCOPER1,CARTA,CARTE,USOCART,CARTDEB,CARTDEB1,BANCOMAT,CARTAPRE,SPESECON,COLDIS,TRADING,ECREDIT,PAYLAT,PAYLATCOME1,PAYLATCOME2,PAYLATCOME3,PAYLATCOME4,INTERNET,TWEET,DEPOSIT,NDEPOSIT
53380,2,,,1,2,,,,,2,,,,,1,2,300,2,,,2,,,,,2,,1,1
53552,2,,,2,2,,,,,2,,,,,1,2,300,2,,,2,,,,,1,2,1,2
53564,1,1,1,1,2,,,,,1,1,1,,,1,1,700,1,3,3,2,,,,,1,2,1,1
53997,2,,,1,2,,,,,1,1,1,,,1,2,500,2,,,2,,,,,2,,1,1
55147,2,,,1,2,,,,,2,,,,,1,2,1400,2,,,2,,,,,2,,1,1
55425,2,,,1,1,2,,,,1,1,2,,,1,2,200,1,3,3,2,,,,,1,1,1,1
55636,2,,,1,2,,,,,2,,,,,1,2,500,2,,,2,,,,,1,2,1,2
55774,2,,,1,2,,,,,2,,,,,1,2,700,1,3,3,2,,,,,1,2,1,3
56563,2,,,1,2,,,,,2,,,,,1,2,300,2,,,2,,,,,2,,1,1
56582,2,,,1,1,2,,,,1,2,2,,,1,2,500,2,,,2,,,,,1,2,1,1
56603,2,,,2,1,1,1500,1500,,2,,,,,1,1,200,2,,,2,,,,,1,2,1,2
56677,2,,,2,2,,,,,1,1,2,,,1,2,600,2,,,2,,,,,2,,1,2
56721,2,,,2,2,,,,,2,,,,,1,2,200,1,3,3,2,,,,,2,,1,2
56761,1,2,3,2,1,2,,,,1,3,2,,,1,1,2000,1,3,3,2,,,,,1,2,1,6
56762,1,1,1,1,2,,,,,2,,,,,2,2,1000,2,,,2,,,,,2,,1,1
57042,2,,,1,2,,,,,2,,,,,1,2,600,2,,,2,,,,,2,,1,1
57138,2,,,1,1,1,2500,400,,1,1,2,,,1,2,500,1,3,3,2,,,,,1,2,1,2
57621,2,,,2,1,2,,,,1,1,2,,,1,2,500,2,,,2,,,,,1,2,1,3
57670,2,,,1,3,,,,,1,1,3,,1,1,2,250,1,3,3,2,,,,,1,1,1,1
57779,2,,,1,2,,,,,2,,,,,1,2,500,2,,,2,,,,,1,2,1,1
60078,2,,,1,2,,,,,2,,,,,1,2,2000,2,,,2,,,,,1,2,1,2
91071,1,2,2,2,2,,,,,1,1,2,,,1,1,300,1,3,3,2,,,,,1,2,1,3
91079,2,,,2,1,2,,,,2,,,,,1,1,1000,1,3,3,2,,,,,1,2,1,3
91081,2,,,3,2,,,,,1,1,2,,,1,1,150,1,3,3,2,,,,,1,2,1,3
91095,1,2,2,1,1,1,200,0,,1,1,2,,,1,2,500,1,3,3,2,,,,,1,2,1,2
111052,2,,,1,2,,,,,2,,,,,1,2,800,2,,,2,,,,,2,,1,1
