NQUEST,NORD,INTPER,CASD,CIGRED,CIGORE,CIGMESI,CASV,MOBD,MOBV,DISD,DISV,LIQD,LIQV,ACED,ACEV,APLD,APLV,AIPD,AIPV,BORSAD,BORSAV,RRD,RRV,ROD,ROV,ALIMD,ALIMV,ASCD,ASCV,ALTRED,ALTREV
1016132,1,,1,,,,3600,2,,2,,2,,,,,,,,,,,,,,,,,,,
1016165,1,,,,,,,,,,,,,1,50,2,,2,,,,,,,,,,,,,
1016237,1,1,,,,,,,,,,,,,,,,,,1,1700,2,,2,,2,,2,,2,
1016437,1,1,2,,,,,2,,1,12000,2,,,,,,,,,,,,,,,,,,,
1016449,1,1,1,2,,,700,2,,2,,2,,,,,,,,,,,,,,,,,,,
1016449,3,1,,,,,,,,,,,,,,,,,,1,300,2,,2,,2,,2,,2,
1016449,4,1,,,,,,,,,,,,,,,,,,1,300,2,,2,,2,,2,,2,
1016898,2,1,,,,,,,,,,,,1,6000,2,,2,,,,,,,,,,,,,
1016986,4,1,,,,,,,,,,,,1,500,2,,2,,,,,,,,,,,,,
1016992,1,1,,,,,,,,,,,,1,1000,2,,2,,,,,,,,,,,,,
1017152,1,,,,,,,,,,,,,2,,1,499,2,,,,,,,,,,,,,
1017449,2,1,1,2,,,1500,2,,2,,2,,,,,,,,,,,,,,,,,,,
1017987,3,2,,,,,,,,,,,,,,,,,,1,1400,2,,2,,2,,2,,2,
1017996,1,1,,,,,,,,,,,,1,340,2,,2,,,,,,,,,,,,,
1018123,3,1,,,,,,,,,,,,1,3000,2,,2,,,,,,,,,,,,,
1018135,2,1,,,,,,,,,,,,1,150,2,,2,,,,,,,,,,,,,
1018315,3,3,2,,,,,2,,1,4500,2,,,,,,,,,,,,,,,,,,,
1018321,3,1,,,,,,,,,,,,1,450,2,,2,,,,,,,,,,,,,
1018367,1,1,,,,,,,,,,,,1,200,2,,2,,,,,,,,,,,,,
1018367,2,2,,,,,,,,,,,,1,3600,2,,2,,,,,,,,,,,,,
1018550,2,1,,,,,,,,,,,,1,1050,2,,2,,,,,,,,,,,,,
1018565,2,1,,,,,,,,,,,,,,,,,,2,,1,1000,1,1000,2,,2,,2,
1018863,1,1,,,,,,,,,,,,,,,,,,2,,2,,2,,1,250,2,,2,
1018928,2,,,,,,,,,,,,,1,500,2,,2,,,,,,,,,,,,,
1019130,1,,,,,,,,,,,,,1,380,2,,2,,,,,,,,,,,,,
1019142,2,1,,,,,,,,,,,,2,,1,15000,2,,,,,,,,,,,,,
1019213,1,,,,,,,,,,,,,,,,,,,2,,2,,2,,1,3600,2,,2,
1019277,3,1,,,,,,,,,,,,1,6300,2,,2,,,,,,,,,,,,,
1019277,4,1,,,,,,,,,,,,1,6000,2,,2,,,,,,,,,,,,,
1019343,2,2,1,,,,1500,2,,1,2000,2,,,,,,,,,,,,,,,,,,,
1019409,1,,,,,,,,,,,,,1,700,2,,2,,,,,,,,,,,,,
1019687,2,2,,,,,,,,,,,,2,,1,2300,2,,,,,,,,,,,,,
1019805,2,1,2,,,,,2,,1,400,2,,,,,,,,,,,,,,,,,,,
1019878,6,1,,,,,,,,,,,,1,630,2,,2,,,,,,,,,,,,,
1019878,7,1,,,,,,,,,,,,1,600,2,,2,,,,,,,,,,,,,
1020454,1,1,2,,,,,2,,1,3500,2,,,,,,,,,,,,,,,,,,,
1020472,1,2,,,,,,,,,,,,1,8000,2,,2,,,,,,,,,,,,,
1020515,1,2,,,,,,,,,,,,1,6000,2,,2,,,,,,,,,,,,,
1021249,1,1,,,,,,,,,,,,1,500,2,,2,,,,,,,,,,,,,
1021380,2,1,2,,,,,2,,1,8400,2,,,,,,,,,,,,,,,,,,,
1021587,1,,,,,,,,,,,,,1,4600,2,,2,,,,,,,,,,,,,
1021594,2,2,,,,,,,,,,,,1,4800,2,,2,,,,,,,,,,,,,
1021594,3,2,,,,,,,,,,,,1,4500,2,,2,,,,,,,,,,,,,
1021974,1,1,,,,,,,,,,,,2,,1,5500,2,,,,,,,,,,,,,
1022019,1,1,2,,,,,2,,1,1500,2,,,,,,,,,,,,,,,,,,,
1022220,4,1,2,,,,,2,,1,1000,2,,,,,,,,,,,,,,,,,,,
1022304,1,1,,,,,,,,,,,,,,,,,,2,,2,,2,,1,9600,2,,2,
1022490,1,,,,,,,,,,,,,1,350,2,,2,,,,,,,,,,,,,
1022642,2,2,2,,,,,2,,1,1600,2,,,,,,,,,,,,,,,,,,,
1022642,4,4,2,,,,,2,,1,2500,2,,,,,,,,,,,,,,,,,,,
1022683,3,3,,,,,,,,,,,,1,6000,2,,2,,,,,,,,,,,,,
1022717,1,1,,,,,,,,,,,,,,,,,,2,,2,,2,,1,14400,2,,2,
1022750,3,1,,,,,,,,,,,,1,3600,2,,2,,,,,,,,,,,,,
1022750,4,1,,,,,,,,,,,,1,2160,2,,2,,,,,,,,,,,,,
1022754,2,1,,,,,,,,,,,,1,6000,2,,2,,,,,,,,,,,,,
1023103,1,1,,,,,,,,,,,,1,200,2,,2,,,,,,,,,,,,,
1023205,2,2,1,1,20,3,,2,,2,,2,,,,,,,,,,,,,,,,,,,
1023247,1,1,,,,,,,,,,,,,,,,,,2,,2,,1,5000,2,,2,,2,
1023467,2,1,,,,,,,,,,,,1,1300,2,,2,,,,,,,,,,,,,
1023650,2,2,2,,,,,2,,1,7800,2,,,,,,,,,,,,,,,,,,,
1023693,4,1,2,,,,,2,,1,2800,2,,,,,,,,,,,,,,,,,,,
1023768,1,1,2,,,,,2,,1,2200,2,,,,,,,,,,,,,,,,,,,
1023768,2,1,2,,,,,2,,1,2000,2,,,,,,,,,,,,,,,,,,,
1023996,1,2,,,,,,,,,,,,1,10800,2,,2,,,,,,,,,,,,,
1024191,3,1,,,,,,,,,,,,,,,,,,1,3000,2,,2,,2,,2,,2,
1024299,1,,,,,,,,,,,,,1,9000,2,,2,,,,,,,,,,,,,
1024555,3,1,,,,,,,,,,,,,,,,,,1,4800,2,,2,,2,,2,,2,
1024583,1,1,,,,,,,,,,,,1,200,2,,2,,,,,,,,,,,,,
1024635,1,1,,,,,,,,,,,,2,,2,,1,24000,,,,,,,,,,,,
1025551,1,1,1,1,46,1,,2,,2,,2,,,,,,,,,,,,,,,,,,,
1025992,1,2,,,,,,,,,,,,2,,1,4000,2,,,,,,,,,,,,,
1025997,2,1,,,,,,,,,,,,1,650,2,,2,,,,,,,,,,,,,
1026059,2,1,,,,,,,,,,,,1,6000,2,,2,,,,,,,,,,,,,
1026135,2,1,,,,,,,,,,,,2,,1,850,2,,,,,,,,,,,,,
1026158,2,1,,,,,,,,,,,,1,500,2,,2,,,,,,,,,,,,,
1026158,3,1,,,,,,,,,,,,1,500,2,,2,,,,,,,,,,,,,
1026176,2,1,,,,,,,,,,,,1,3250,2,,2,,,,,,,,,,,,,
1026459,2,1,,,,,,,,,,,,1,6840,2,,2,,,,,,,,,,,,,
1026713,2,1,,,,,,,,,,,,2,,1,20000,2,,,,,,,,,,,,,
1026782,1,1,2,,,,,2,,1,2000,2,,,,,,,,,,,,,,,,,,,
1026808,3,1,2,,,,,2,,1,2000,2,,,,,,,,,,,,,,,,,,,
1026884,2,2,2,,,,,2,,1,190,2,,,,,,,,,,,,,,,,,,,
1026925,2,1,,,,,,,,,,,,1,3500,2,,2,,,,,,,,,,,,,
1027093,4,2,,,,,,,,,,,,1,320,2,,2,,,,,,,,,,,,,
1027166,1,1,,,,,,,,,,,,,,,,,,1,1500,2,,2,,2,,2,,2,
1027166,2,1,,,,,,,,,,,,,,,,,,1,1500,2,,2,,2,,2,,2,
1027217,2,2,,,,,,,,,,,,1,6000,2,,2,,,,,,,,,,,,,
1027306,1,1,2,,,,,2,,1,9600,2,,,,,,,,,,,,,,,,,,,
1027916,1,1,,,,,,,,,,,,1,3600,2,,2,,,,,,,,,,,,,
1027916,2,1,,,,,,,,,,,,1,3600,2,,2,,,,,,,,,,,,,
1027916,3,1,,,,,,,,,,,,1,3600,2,,2,,,,,,,,,,,,,
1027940,3,1,,,,,,,,,,,,1,2700,2,,2,,,,,,,,,,,,,
1027940,4,1,,,,,,,,,,,,1,2700,2,,2,,,,,,,,,,,,,
1028053,1,1,,,,,,,,,,,,1,7000,2,,2,,,,,,,,,,,,,
1028080,1,1,2,,,,,2,,1,7000,2,,1,3800,2,,2,,,,,,,,,,,,,
1028204,3,1,,,,,,,,,,,,,,,,,,2,,2,,1,500,2,,2,,2,
1028205,3,1,,,,,,,,,,,,,,,,,,1,2000,2,,2,,2,,2,,2,
1028248,2,1,,,,,,,,,,,,1,5668,2,,2,,,,,,,,,,,,,
1028744,4,1,,,,,,,,,,,,,,,,,,1,4000,2,,2,,2,,2,,2,
1030597,4,1,,,,,,,,,,,,1,1500,2,,2,,,,,,,,,,,,,
1030626,3,1,,,,,,,,,,,,1,180,2,,2,,,,,,,,,,,,,
1030703,4,3,,,,,,,,,,,,2,,1,300,2,,,,,,,,,,,,,
1030822,5,1,,,,,,,,,,,,1,2000,2,,2,,,,,,,,,,,,,
1031005,3,1,,,,,,,,,,,,,,,,,,1,19800,2,,2,,2,,2,,2,
1031016,1,,,,,,,,,,,,,,,,,,,2,,2,,1,500,1,2400,2,,2,
1031016,2,,,,,,,,,,,,,,,,,,,2,,2,,1,1000,1,3900,2,,2,
1031016,3,,,,,,,,,,,,,,,,,,,2,,2,,1,1000,1,3900,2,,2,
1031024,1,1,2,,,,,2,,1,1400,2,,1,800,2,,2,,2,,2,,1,1000,2,,2,,2,
1031024,2,1,,,,,,,,,,,,,,,,,,2,,2,,1,1000,2,,2,,2,
1031024,3,1,,,,,,,,,,,,,,,,,,2,,2,,1,500,2,,2,,2,
1031024,4,1,,,,,,,,,,,,,,,,,,2,,2,,1,500,2,,2,,2,
1031122,2,1,,,,,,,,,,,,1,235,2,,2,,,,,,,,,,,,,
1031122,3,1,,,,,,,,,,,,1,527,2,,2,,,,,,,,,,,,,
1031122,4,1,,,,,,,,,,,,1,300,2,,2,,,,,,,,,,,,,
1031279,1,,2,,,,,2,,1,1300,1,1400,,,,,,,,,,,,,,,,,,
1031282,3,2,,,,,,,,,,,,1,150,2,,2,,,,,,,,,,,,,
1031282,4,2,,,,,,,,,,,,1,150,2,,2,,,,,,,,,,,,,
1031282,5,2,,,,,,,,,,,,1,300,2,,2,,,,,,,,,,,,,
1031296,2,1,,,,,,,,,,,,1,380,2,,2,,,,,,,,,,,,,
1031372,1,,,,,,,,,,,,,1,800,2,,2,,,,,,,,,,,,,
1031678,1,1,1,,,,2000,1,300,1,6000,2,,,,,,,,,,,,,,,,,,,
1032192,1,,,,,,,,,,,,,1,6000,2,,2,,,,,,,,,,,,,
1032430,1,2,,,,,,,,,,,,1,6000,2,,2,,,,,,,,,,,,,
1032437,1,1,,,,,,,,,,,,1,5000,2,,2,,,,,,,,,,,,,
1033351,3,2,,,,,,,,,,,,2,,1,800,2,,,,,,,,,,,,,
1033686,1,1,,,,,,,,,,,,1,10500,2,,2,,,,,,,,,,,,,
1033778,2,1,,,,,,,,,,,,1,550,2,,2,,,,,,,,,,,,,
1033778,3,1,,,,,,,,,,,,1,290,2,,2,,,,,,,,,,,,,
1033866,1,2,,,,,,,,,,,,1,320,2,,2,,,,,,,,,,,,,
1033929,2,1,,,,,,,,,,,,1,3770,2,,2,,,,,,,,,,,,,
1034148,2,1,,,,,,,,,,,,1,6500,2,,2,,,,,,,,,,,,,
1034162,1,2,2,,,,,2,,1,2000,2,,,,,,,,,,,,,,,,,,,
1034432,4,1,,,,,,,,,,,,,,,,,,1,2600,2,,2,,2,,2,,2,
1034434,1,,,,,,,,,,,,,1,6240,2,,2,,,,,,,,,,,,,
1034557,3,3,2,,,,,2,,1,1500,2,,,,,,,,,,,,,,,,,,,
1034574,4,1,,,,,,,,,,,,,,,,,,1,7000,2,,2,,2,,2,,2,
1034645,1,,,,,,,,,,,,,,,,,,,2,,2,,2,,1,2400,2,,2,
1035016,1,1,2,,,,,2,,1,3000,2,,,,,,,,,,,,,,,,,,,
1035217,1,,,,,,,,,,,,,,,,,,,2,,1,6000,2,,2,,2,,2,
1035320,1,,,,,,,,,,,,,,,,,,,2,,1,600,2,,2,,2,,2,
1035398,1,,,,,,,,,,,,,1,500,2,,2,,,,,,,,,,,,,
1035642,2,1,,,,,,,,,,,,1,500,2,,2,,,,,,,,,,,,,
1035714,2,1,,,,,,,,,,,,2,,1,1000,2,,,,,,,,,,,,,
1035738,3,1,,,,,,,,,,,,,,,,,,1,600,2,,2,,2,,2,,2,
1036037,1,1,,,,,,,,,,,,2,,1,500,2,,,,,,,,,,,,,
1036102,1,1,,,,,,,,,,,,1,6200,2,,2,,,,,,,,,,,,,
1036157,1,1,,,,,,,,,,,,1,6000,2,,2,,,,,,,,,,,,,
1036354,1,1,,,,,,,,,,,,1,2450,2,,2,,,,,,,,,,,,,
1036408,1,,2,,,,,2,,1,8700,2,,,,,,,,,,,,,,,,,,,
1036430,1,,,,,,,,,,,,,1,3500,2,,2,,,,,,,,,,,,,
1036924,2,1,,,,,,,,,,,,1,700,2,,2,,,,,,,,,,,,,
1036979,3,1,,,,,,,,,,,,1,1000,2,,2,,,,,,,,,,,,,
1036979,4,1,,,,,,,,,,,,1,1000,2,,2,,,,,,,,,,,,,
1036981,1,1,,,,,,,,,,,,1,2560,2,,2,,2,,2,,2,,2,,1,480,2,
1037044,2,1,,,,,,,,,,,,,,,,,,1,50,2,,2,,2,,2,,2,
1037205,1,1,2,,,,,2,,1,10200,2,,,,,,,,,,,,,,,,,,,
1037341,1,1,,,,,,,,,,,,1,6000,2,,2,,,,,,,,,,,,,
1037349,1,1,2,,,,,2,,1,3600,2,,,,,,,,,,,,,,,,,,,
1037349,2,1,,,,,,,,,,,,2,,1,1780,2,,,,,,,,,,,,,
1038143,1,1,,,,,,,,,,,,1,5000,2,,2,,,,,,,,,,,,,
1038218,2,1,2,,,,,2,,1,5000,2,,,,,,,,,,,,,,,,,,,
1038245,4,1,,,,,,,,,,,,1,1000,2,,2,,,,,,,,,,,,,
1038314,1,1,,,,,,,,,,,,1,4000,2,,2,,,,,,,,,,,,,
1038314,2,1,,,,,,,,,,,,1,5000,2,,2,,,,,,,,,,,,,
1038367,1,1,,,,,,,,,,,,1,3840,2,,2,,,,,,,,,,,,,
1038386,2,1,,,,,,,,,,,,1,500,2,,2,,,,,,,,,,,,,
1038402,1,4,,,,,,,,,,,,1,6500,2,,2,,,,,,,,,,,,,
1038474,1,1,2,,,,,2,,1,2100,2,,,,,,,,,,,,,,,,,,,
1038494,2,2,,,,,,,,,,,,2,,1,350,2,,,,,,,,,,,,,
1038527,1,,2,,,,,2,,1,2400,2,,,,,,,,,,,,,,,,,,,
1038538,2,1,,,,,,,,,,,,2,,1,750,2,,,,,,,,,,,,,
1038546,1,1,,,,,,,,,,,,1,500,2,,2,,,,,,,,,,,,,
1038825,2,1,,,,,,,,,,,,1,3000,2,,2,,,,,,,,,,,,,
1039131,1,,,,,,,,,,,,,,,,,,,2,,1,3720,1,400,2,,2,,2,
1039188,2,1,,,,,,,,,,,,,,,,,,1,5000,2,,2,,2,,2,,2,
1039519,2,1,,,,,,,,,,,,,,,,,,2,,2,,2,,1,2500,2,,2,
1039713,2,1,,,,,,,,,,,,2,,1,500,2,,,,,,,,,,,,,
1040319,1,1,2,,,,,2,,1,2400,1,1800,,,,,,,,,,,,,,,,,,
1040455,1,1,,,,,,,,,,,,1,350,2,,2,,,,,,,,,,,,,
1040659,2,1,,,,,,,,,,,,1,1000,2,,2,,,,,,,,,,,,,
1040870,1,1,2,,,,,2,,1,500,2,,,,,,,,,,,,,,,,,,,
1040942,1,,2,,,,,2,,1,4000,2,,,,,,,,,,,,,,,,,,,
1041147,2,1,,,,,,,,,,,,1,8000,2,,2,,,,,,,,,,,,,
1041164,3,1,,,,,,,,,,,,1,450,2,,2,,,,,,,,,,,,,
1041184,1,,,,,,,,,,,,,2,,1,600,2,,,,,,,,,,,,,
1041958,3,1,2,,,,,1,3250,2,,2,,,,,,,,,,,,,,,,,,,
1042597,2,2,,,,,,,,,,,,1,50,2,,2,,,,,,,,,,,,,
1042613,2,1,,,,,,,,,,,,1,1200,2,,2,,,,,,,,,,,,,
1042749,1,1,2,,,,,2,,1,4800,1,2500,,,,,,,,,,,,,,,,,,
1043130,2,1,2,,,,,2,,2,,1,16000,,,,,,,,,,,,,,,,,,
1043402,2,1,,,,,,,,,,,,2,,1,3000,2,,,,,,,,,,,,,
1044106,1,,,,,,,,,,,,,,,,,,,2,,1,6000,2,,2,,2,,1,12000
1044246,1,1,,,,,,,,,,,,1,6000,2,,2,,,,,,,,,,,,,
1044246,2,1,,,,,,,,,,,,1,6000,2,,2,,,,,,,,,,,,,
1045254,1,,,,,,,,,,,,,2,,1,7200,2,,,,,,,,,,,,,
1045266,1,1,,,,,,,,,,,,2,,1,8300,2,,,,,,,,,,,,,
1045681,4,1,,,,,,,,,,,,1,50,2,,2,,,,,,,,,,,,,
1045841,3,1,,,,,,,,,,,,2,,1,1860,2,,,,,,,,,,,,,
1046896,1,1,,,,,,,,,,,,1,12000,2,,2,,,,,,,,,,,,,
1047691,4,1,,,,,,,,,,,,,,,,,,1,20000,2,,2,,2,,2,,2,
1050186,1,1,,,,,,,,,,,,1,170,2,,2,,,,,,,,,,,,,
1050186,2,1,1,1,40,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,
1050295,3,1,,,,,,,,,,,,1,3640,2,,2,,,,,,,,,,,,,
1050412,3,1,,,,,,,,,,,,,,,,,,2,,1,480,2,,2,,2,,2,
1050522,2,,,,,,,,,,,,,,,,,,,2,,1,3200,2,,2,,2,,2,
1050522,3,,,,,,,,,,,,,,,,,,,2,,1,3200,2,,2,,2,,2,
1050566,1,1,,,,,,,,,,,,1,2280,2,,2,,,,,,,,,,,,,
1051894,1,1,,,,,,,,,,,,1,6500,2,,2,,,,,,,,,,,,,
1052125,3,1,,,,,,,,,,,,1,6100,2,,2,,,,,,,,,,,,,
1053334,1,1,2,,,,,2,,1,3000,1,600,,,,,,,,,,,,,,,,,,
1053334,3,1,2,,,,,2,,1,5400,1,500,,,,,,,,,,,,,,,,,,
1053452,1,,,,,,,,,,,,,1,6000,2,,2,,2,,2,,2,,2,,2,,1,7000
1053454,1,,,,,,,,,,,,,,,,,,,2,,2,,1,800,2,,2,,2,
1053456,1,,,,,,,,,,,,,,,,,,,2,,2,,2,,2,,2,,1,5000
1053512,1,,,,,,,,,,,,,1,6000,2,,2,,,,,,,,,,,,,
1054407,1,1,,,,,,,,,,,,1,100,2,,2,,,,,,,,,,,,,
1054407,3,1,,,,,,,,,,,,,,,,,,2,,2,,1,3000,2,,2,,2,
1054436,1,1,,,,,,,,,,,,2,,1,8700,2,,,,,,,,,,,,,
1054731,2,1,,,,,,,,,,,,1,3500,2,,2,,,,,,,,,,,,,
1056097,1,1,,,,,,,,,,,,1,100,2,,2,,,,,,,,,,,,,
1056097,2,1,1,1,180,6,,2,,2,,2,,,,,,,,,,,,,,,,,,,
1057191,1,,,,,,,,,,,,,1,6800,2,,2,,,,,,,,,,,,,
1058263,1,2,,,,,,,,,,,,1,1000,2,,2,,,,,,,,,,,,,
1058534,1,,,,,,,,,,,,,2,,1,1000,2,,,,,,,,,,,,,
1058567,2,1,,,,,,,,,,,,2,,1,1200,2,,,,,,,,,,,,,
1059047,3,4,,,,,,,,,,,,2,,1,700,2,,,,,,,,,,,,,
1059453,1,1,,,,,,,,,,,,,,,,,,2,,2,,1,2400,1,500,2,,2,
1059453,2,1,,,,,,,,,,,,,,,,,,2,,2,,1,200,1,2400,2,,2,
1059453,3,1,,,,,,,,,,,,,,,,,,2,,2,,1,200,1,2400,2,,2,
1059453,4,1,,,,,,,,,,,,,,,,,,2,,2,,1,200,1,2400,2,,2,
1059982,1,,,,,,,,,,,,,,,,,,,2,,1,7500,1,200,2,,2,,2,
1060112,1,,,,,,,,,,,,,,,,,,,2,,1,16500,2,,2,,2,,2,
1060504,1,,,,,,,,,,,,,1,4400,2,,2,,,,,,,,,,,,,
1060997,2,1,1,,,,12000,2,,2,,2,,,,,,,,,,,,,,,,,,,
1061024,1,1,1,2,,,500,2,,2,,2,,,,,,,,,,,,,,,,,,,
1061858,1,2,,,,,,,,,,,,1,600,2,,2,,,,,,,,,,,,,
1062045,1,1,,,,,,,,,,,,2,,1,6000,2,,,,,,,,,,,,,
1063494,1,,2,,,,,2,,1,2400,2,,,,,,,,,,,,,,,,,,,
1063564,1,1,,,,,,,,,,,,1,500,2,,2,,,,,,,,,,,,,
1063564,2,1,,,,,,,,,,,,1,200,2,,2,,,,,,,,,,,,,
1063564,3,1,,,,,,,,,,,,1,500,2,,2,,,,,,,,,,,,,
1063849,3,1,,,,,,,,,,,,,,,,,,1,6000,2,,2,,2,,2,,2,
1063849,4,1,,,,,,,,,,,,,,,,,,1,800,2,,2,,2,,2,,2,
1064606,1,1,,,,,,,,,,,,1,4500,2,,2,,,,,,,,,,,,,
1064666,1,1,,,,,,,,,,,,1,450,2,,2,,,,,,,,,,,,,
1065723,3,1,,,,,,,,,,,,1,7540,2,,2,,,,,,,,,,,,,
1065735,3,1,1,,,,1000,2,,2,,2,,,,,,,,,,,,,,,,,,,
1066096,2,1,,,,,,,,,,,,,,,,,,1,4800,2,,2,,2,,2,,2,
1066501,1,1,2,,,,,2,,1,1000,2,,,,,,,,,,,,,,,,,,,
1066817,2,1,,,,,,,,,,,,1,4500,2,,2,,,,,,,,,,,,,
1068698,1,1,,,,,,,,,,,,,,,,,,2,,2,,2,,2,,2,,1,750
1068698,2,2,,,,,,,,,,,,,,,,,,2,,2,,2,,2,,2,,1,750
1070477,3,1,,,,,,,,,,,,1,7000,2,,2,,,,,,,,,,,,,
1070877,1,1,2,,,,,2,,1,5400,2,,,,,,,,,,,,,,,,,,,
1070891,1,1,,,,,,,,,,,,1,6480,2,,2,,,,,,,,,,,,,
1071058,1,1,,,,,,,,,,,,1,2100,2,,2,,,,,,,,,,,,,
1071085,5,1,,,,,,,,,,,,1,1800,2,,2,,,,,,,,,,,,,
1071217,1,1,,,,,,,,,,,,2,,2,,1,200,,,,,,,,,,,,
1071227,1,1,,,,,,,,,,,,1,1200,2,,2,,,,,,,,,,,,,
1071246,1,1,,,,,,,,,,,,1,3500,2,,2,,,,,,,,,,,,,
1071247,3,1,,,,,,,,,,,,1,1000,2,,2,,,,,,,,,,,,,
1072295,1,,2,,,,,2,,1,4000,2,,,,,,,,,,,,,,,,,,,
1072486,2,1,,,,,,,,,,,,1,2500,2,,2,,,,,,,,,,,,,
1072582,4,1,,,,,,,,,,,,1,9000,2,,2,,,,,,,,,,,,,
1072838,3,1,,,,,,,,,,,,,,,,,,1,3500,2,,2,,2,,2,,2,
1072846,1,,,,,,,,,,,,,2,,1,200,2,,,,,,,,,,,,,
1072846,1,1,,,,,,,,,,,,,,,,,,2,,2,,2,,2,,2,,1,10000
1072846,2,,,,,,,,,,,,,,,,,,,1,100,2,,2,,1,300,2,,2,
1072846,3,,,,,,,,,,,,,,,,,,,1,100,2,,2,,1,300,2,,2,
1072943,1,2,,,,,,,,,,,,1,3000,2,,2,,,,,,,,,,,,,
1072943,3,2,,,,,,,,,,,,,,,,,,1,5000,2,,2,,2,,2,,2,
1072961,3,1,,,,,,,,,,,,,,,,,,1,50,2,,2,,2,,2,,2,
