NQUEST,NORD,CERC,MCERC1,MCERC2,MCERC3,MCERC4,MCERC5,MCERC6,MCERC7,MCERC8,MCERC9,MCERC10,MCERC11,OFFERTE,NOFFERTE,NRIFIUTI,NESPLAV,ETALAV,CONTRIB,ACONTRIB,MCONTRIB,DISOC,CASSINT,DIS1,DIS2,DIS3,DIS4,DIS5,DISTOT,DISTEL,ETAPEN,ETALAV2,NOMALAT,MALAT
216021,1,2,,,,,,,,,,,,2,0,0,2,14,1,20,,2,2,,,,,,,,,,,
216021,2,2,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
216022,1,2,,,,,,,,,,,,2,0,0,2,19,1,35,,2,2,,,,,,,,55,47,2,7
216022,2,2,,,,,,,,,,,,2,0,0,2,18,1,15,,2,2,,,,,,,,55,40,1,0
216022,3,1,,,,,,,,,,,,2,0,0,4,19,1,3,,2,2,,,,,,,,60,26,1,0
216022,4,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
216022,5,1,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
216024,1,2,,,,,,,,,,,,2,0,0,3,19,1,40,,2,1,3,3,3,3,3,3,,,,,
216024,2,2,,,,,,,,,,,,2,0,0,1,18,1,40,,2,2,,,,,,,,,,,
216024,3,1,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
216041,1,2,,,,,,,,,,,,2,0,0,3,15,1,40,,2,2,,,,,,,,,,,
216041,2,2,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
216049,1,2,,,,,,,,,,,,2,0,0,5,25,1,23,,2,2,,,,,,,,60,46,2,7
216051,1,2,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
216051,2,2,,,,,,,,,,,,2,0,0,1,21,1,19,,2,2,,,,,,,,55,,1,0
216052,1,2,,,,,,,,,,,,2,0,0,1,16,1,38,,2,2,,,,,,,,,,,
216054,1,2,,,,,,,,,,,,2,0,0,2,13,1,18,,2,2,,,,,,,,,,,
216057,1,2,,,,,,,,,,,,2,0,0,1,14,1,40,,2,2,,,,,,,,,,,
216057,2,2,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
216057,3,2,,,,,,,,,,,,2,0,0,3,22,1,24,,2,2,,,,,,,,65,46,1,0
216063,1,2,,,,,,,,,,,,2,0,0,2,14,1,30,,2,2,,,,,,,,,,,
216063,2,2,1,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
216063,3,2,,,,,,,,,,,,2,0,0,1,23,1,6,,2,2,,,,,,,,60,,1,0
