NQUEST,NORD,SEX,PARENT,ANASC,MOTENT,NORDP,STACIV,STUDIO,TIPODIP,TIPOLAU,SALUTE,CRONIC,INVALID,APQUAL,ASNONOC,APSETT,INTPER,NCOMP,ETA,IREG,AREA5,AREA3,ACOM4C,CLETA,NPERC,PESOFL,NASCREG,NASCAREA
376,3,1,3,1973,,3,2,5,3,,4,2,2,17,,,,4,22,16,4,3,2,1,1,1.4674096654,16,3
376,4,2,3,1974,,4,2,5,3,,4,2,2,11,,,,4,21,16,4,3,2,1,1,1.4674096654,16,3
424,1,2,1,1923,,1,4,2,,,3,2,2,15,1,9,1,1,72,9,3,2,2,5,1,0.8005102482,9,2
465,1,1,1,1954,,1,1,5,2,,5,2,1,1,,1,1,4,41,8,2,1,1,3,3,0.3950404796,8,1
465,2,2,2,1956,,2,1,5,2,,5,2,2,1,,1,,4,39,8,2,1,1,2,3,0.3950404796,3,1
465,3,1,3,1976,,3,2,5,2,,5,2,2,17,,,,4,19,8,2,1,1,1,3,0.3950404796,8,1
465,4,1,3,1981,,4,2,2,,,5,2,2,17,,,,4,14,8,2,1,1,1,3,0.3950404796,8,1
474,1,1,1,1913,,1,4,2,,,5,2,2,15,8,4,1,1,82,8,2,1,1,5,1,0.3478883538,8,1
558,1,2,1,1952,,1,4,2,,,3,2,2,1,,2,1,3,43,8,2,1,1,3,3,0.4178230872,8,1
558,2,1,3,1974,,2,2,2,,,4,2,2,1,,2,,3,21,8,2,1,1,1,3,0.4178230872,8,1
558,3,1,3,1977,,3,2,4,,,4,2,2,1,,2,,3,18,8,2,1,1,1,3,0.4178230872,8,1
561,1,1,1,1939,,1,1,5,5,,4,2,2,9,,7,1,4,56,8,2,1,1,4,2,0.422169566,8,1
561,2,2,2,1942,,2,1,2,,,4,2,2,13,,,,4,53,8,2,1,1,4,2,0.422169566,8,1
561,3,1,3,1968,,4,2,5,2,,4,2,2,9,,7,,4,27,8,2,1,1,1,2,0.422169566,8,1
561,4,1,3,1978,,5,2,3,,,4,1,2,17,,,,4,17,8,2,1,1,1,2,0.422169566,8,1
629,1,1,1,1939,,1,4,3,,,4,2,2,10,,2,1,3,56,5,2,1,1,4,3,0.5248734507,5,1
629,2,1,3,1969,,2,2,5,2,,5,2,2,1,,2,,3,26,5,2,1,1,1,3,0.5248734507,5,1
629,3,1,3,1970,,3,2,3,,,5,2,2,1,,2,,3,25,5,2,1,1,1,3,0.5248734507,5,1
632,1,1,1,1950,,1,1,3,,,4,2,2,2,,9,1,4,45,5,2,1,1,3,3,0.5036021521,5,1
632,2,2,2,1952,,2,1,3,,,4,2,2,1,,2,,4,43,5,2,1,1,3,3,0.5036021521,5,1
632,3,2,3,1976,,3,2,5,2,,4,2,2,4,,2,,4,19,5,2,1,1,1,3,0.5036021521,5,1
632,4,1,3,1983,,4,2,2,,,4,2,2,17,,,,4,12,5,2,1,1,1,3,0.5036021521,5,1
633,1,1,1,1928,,1,1,3,,,4,2,2,15,1,9,1,2,67,5,2,1,1,5,2,0.4623356558,5,1
633,2,2,2,1934,,2,1,2,,,4,2,2,15,1,2,,2,61,5,2,1,1,4,2,0.4623356558,5,1
686,1,2,1,1912,,1,4,3,,,5,1,1,15,2,9,1,1,83,4,2,1,0,5,1,0.9991097392,4,1
701,1,1,1,1950,,1,1,5,2,,4,2,2,1,,9,1,3,45,4,2,1,0,3,2,0.8844329057,4,1
701,2,2,2,1949,,2,1,5,5,,4,2,2,15,2,9,,3,46,4,2,1,0,3,2,0.8844329057,8,1
701,3,1,3,1978,,3,2,3,,,4,2,2,17,,,,3,17,4,2,1,0,1,2,0.8844329057,4,1
823,1,1,1,1958,,1,1,5,2,,4,2,2,2,,4,1,4,37,5,2,1,0,2,1,2.2773982521,5,1
823,2,2,2,1961,,2,1,3,,,4,2,2,13,,,,4,34,5,2,1,0,2,1,2.2773982521,5,1
823,3,2,3,1991,,3,2,1,,,5,2,2,18,,,,4,4,5,2,1,0,1,1,2.2773982521,5,1
823,4,2,3,1994,1,,2,1,,,5,2,2,18,,,,4,1,5,2,1,0,1,1,2.2773982521,5,1
824,1,1,1,1931,,1,2,2,,,4,1,2,16,,,1,2,64,5,2,1,0,4,2,2.0435306731,5,1
824,2,2,5,1918,,2,4,1,,,2,1,2,16,,,2,2,77,5,2,1,0,5,2,2.0435306731,5,1
905,1,1,1,1956,,1,1,5,2,,4,2,2,2,,9,1,4,39,13,4,3,1,2,2,0.3321528046,13,3
905,2,2,2,1960,,2,1,5,5,,4,2,2,3,,9,2,4,35,13,4,3,1,2,2,0.3321528046,13,3
905,3,1,3,1981,,3,2,3,,,4,2,2,17,,,,4,14,13,4,3,1,1,2,0.3321528046,13,3
905,4,1,3,1984,,4,2,2,,,4,2,2,17,,,,4,11,13,4,3,1,1,2,0.3321528046,13,3
912,1,1,1,1951,,1,1,4,,,4,2,2,12,8,3,1,4,44,13,4,3,1,3,2,0.3950113221,13,3
912,2,2,2,1961,,2,1,4,,,4,2,2,2,,9,2,4,34,13,4,3,1,2,2,0.3950113221,,
912,3,2,3,1982,,3,2,2,,,4,2,2,17,,,,4,13,13,4,3,1,1,2,0.3950113221,13,3
912,4,1,3,1985,,4,2,1,,,4,2,2,17,,,,4,10,13,4,3,1,1,2,0.3950113221,13,3
923,1,2,1,1932,,2,4,2,,,5,2,2,16,,,1,2,63,13,4,3,2,4,1,0.3301765238,13,3
923,2,2,3,1970,,3,2,5,2,,5,2,2,17,,,,2,25,13,4,3,2,1,1,0.3301765238,13,3
1084,1,1,1,1949,,1,1,7,,4,3,1,2,3,,9,1,4,46,6,2,1,2,3,2,0.6862870108,6,1
1084,2,2,2,1950,,2,1,7,,9,4,2,2,3,,9,,4,45,6,2,1,2,3,2,0.6862870108,6,1
1084,3,1,3,1980,,3,2,3,,,5,2,2,17,,,,4,15,6,2,1,2,1,2,0.6862870108,6,1
1084,4,1,3,1985,,4,2,1,,,5,2,2,17,,,,4,10,6,2,1,2,1,2,0.6862870108,6,1
