NQUEST,NORD,TIPOPEN,DECOR,TPENS,MESIPEN,ARRET,TARRET,QUOTAPE
24202,2,8,1994,2000,13,2,0,90
24308,1,5,1992,4000,13,2,0,100
24308,2,1,1995,670,8,2,0,45
24311,5,3,1979,250,12,2,0,
24311,5,5,1968,1300,13,2,0,95
24316,2,2,1986,650,13,2,0,
24316,3,4,1960,600,13,2,0,
24317,1,5,1989,1500,13,2,0,
24326,1,1,1977,1200,13,2,0,60
24326,2,1,1979,1200,13,2,0,
24374,1,1,1989,700,13,2,0,
24374,2,2,1971,600,13,2,0,
24379,1,8,1989,1900,13,2,0,85
24393,1,8,1971,2000,13,2,0,90
24393,2,1,1988,600,13,2,0,50
24435,1,2,1988,650,13,2,0,
24435,2,1,1986,720,13,2,0,
24438,1,1,1981,700,13,2,0,
24438,2,1,1978,750,13,2,0,
24446,1,1,1982,1800,12,2,0,80
24517,1,2,1979,610,13,2,0,
24517,2,1,1979,1200,13,2,0,70
24525,1,12,1975,539,12,2,0,
24525,1,1,1987,1257,13,2,0,
24530,1,1,1994,1500,13,2,0,75
24560,1,1,1987,1200,13,2,0,90
24566,2,14,1973,2000,13,2,0,
24566,2,2,1968,600,13,2,0,
24566,2,14,1968,400,13,2,0,
24571,1,1,1990,1270,13,2,0,90
24571,1,13,1986,160,13,2,0,
24571,1,2,1986,450,13,2,0,
24571,2,1,1991,630,13,1,,50
24611,1,1,1988,900,13,2,0,70
24611,1,3,1982,450,13,2,0,
24613,1,1,1978,1450,13,2,0,80
24619,1,1,1994,900,13,2,0,
24624,4,1,1960,525,13,2,0,70
24628,1,2,1975,680,13,2,0,
24628,2,1,1985,820,13,2,0,70
24633,1,1,1994,1500,13,2,0,80
24635,2,1,1971,630,13,2,0,
24635,3,1,1971,600,13,2,0,
24646,1,3,1994,600,13,2,0,
24655,1,1,1990,500,13,2,0,30
24655,1,3,1987,700,13,2,0,
24678,1,3,1994,1240,13,2,0,
24679,1,5,1995,1270,13,2,0,80
24680,1,3,1957,1200,13,2,0,
24680,2,1,1989,1150,13,2,0,
24689,1,3,1993,920,13,2,0,
24724,1,1,1970,700,13,2,0,15
24727,1,5,1990,2100,13,2,0,90
24731,1,1,1992,1400,13,2,0,50
24731,2,1,1986,1100,13,2,0,70
24760,1,3,1988,1400,6,2,0,
24763,1,5,1971,2000,6,2,0,70
24763,2,5,1984,1300,13,2,0,70
24770,1,1,1990,660,13,2,0,70
24770,2,1,1970,660,13,2,0,70
24770,2,2,1994,700,12,2,0,
24800,1,3,1977,1100,13,2,0,
24809,2,5,1990,1550,13,2,0,80
24835,1,5,1995,2000,10,2,0,98
24885,1,3,1986,1026,13,2,0,
24885,1,11,1984,700,6,2,0,
24909,1,1,1976,1500,13,2,0,80
24909,2,2,1987,340,13,2,0,
24911,2,3,1982,1280,13,2,0,
