NQUEST,Y,CN,CD1,CD2,CD,C,S
22516,43567.173839,28200,0,1000,1000,29200,14367.173839
22525,22900,18000,0,0,0,18000,4900
22528,54359.378357,22800,0,0,0,22800,31559.378357
22533,92006.405362,78000,0,0,0,78000,14006.405362
22537,29230.93889,24000,0,9000,9000,33000,-3769.06111
22545,63245.78767,37200,0,7000,7000,44200,19045.78767
22548,14500,14400,0,0,0,14400,100
22550,53415.750494,42000,26000,0,26000,68000,-14584.24951
22563,30538.7233,22200,0,0,0,22200,8338.7232999
22570,46690.604134,36000,0,0,0,36000,10690.604134
22571,89321.567075,49400,0,1000,1000,50400,38921.567075
22586,21469.151441,31800,0,0,0,31800,-10330.84856
22587,141158.77856,88700,41000,1500,42500,131200,9958.778565
22606,52820.541291,36000,-15000,0,-15000,21000,31820.541291
22608,27833.380349,25680,0,0,0,25680,2153.3803486
22624,12000,14880,0,0,0,14880,-2880
22657,48421.327558,27600,0,0,0,27600,20821.327558
22669,59800.727958,48000,12000,600,12600,60600,-799.272042
22685,83834.698059,55000,0,0,0,55000,28834.698059
22690,51858.600636,49000,-1000,0,-1000,48000,3858.6006363
22805,92173.933918,49600,0,5500,5500,55100,37073.933918
22807,13400,14400,0,0,0,14400,-1000
22844,73965.344968,61200,7000,0,7000,68200,5765.3449678
22850,55381.367365,36700,0,0,0,36700,18681.367365
22891,26973.186387,20400,0,0,0,20400,6573.1863866
22899,55312.083902,36800,28500,2000,30500,67300,-11987.9161
22901,37304.450103,31200,0,0,0,31200,6104.4501031
22903,20175.721309,19200,0,0,0,19200,975.72130875
22904,20400,20400,0,0,0,20400,0
22908,26293.588235,23400,0,0,0,23400,2893.5882355
22961,32851.186063,24000,4500,0,4500,28500,4351.1860629
22964,166083.74555,45719.709116,0,0,0,45719.709116,120364.03643
22967,65233.738323,48800,25500,0,25500,74300,-9066.261677
22972,30289.341286,24000,0,0,0,24000,6289.3412864
22974,14595.905335,16800,0,0,0,16800,-2204.094665
22992,60001.98562,20400,0,0,0,20400,39601.98562
22993,151589.1368,74000,10000,30000,40000,114000,37589.136801
22995,173210.56868,67000,0,1500,1500,68500,104710.56868
22996,163719.99272,57300,22000,0,22000,79300,84419.992718
23149,105824.38756,59600,0,0,0,59600,46224.387557
23188,41132.934912,32400,0,0,0,32400,8732.9349115
23189,30438.097702,25200,0,0,0,25200,5238.0977019
23193,37752.491398,42600,0,0,0,42600,-4847.508602
23199,87594.143895,61800,0,0,0,61800,25794.143895
23267,26382.107423,41400,0,0,0,41400,-15017.89258
23273,47794.159494,38400,0,0,0,38400,9394.1594938
23285,18300,17100,0,0,0,17100,1200
23319,19200,14400,0,6000,6000,20400,-1200
23324,15194.794495,13200,0,0,0,13200,1994.7944954
23342,21700,18000,0,0,0,18000,3700
23343,23971.343165,21600,0,0,0,21600,2371.3431645
23350,16407.175184,14400,0,0,0,14400,2007.1751842
23362,16638.125733,13200,0,0,0,13200,3438.1257331
23367,30206.406171,28308.996326,0,0,0,28308.996326,1897.4098445
23370,90972.936414,22800,0,0,0,22800,68172.936414
23383,56897.199608,39600,0,0,0,39600,17297.199608
23384,54373.783374,34800,0,3000,3000,37800,16573.783374
23386,42715.504277,46609.75139,0,0,0,46609.75139,-3894.247113
23389,57920.780204,23238.713446,0,0,0,23238.713446,34682.066758
23394,60357.43441,42600,0,0,0,42600,17757.43441
23399,57164.403207,36000,3000,0,3000,39000,18164.403207
23402,25245.708536,19200,0,0,0,19200,6045.7085365
23409,63422.038105,37200,0,0,0,37200,26222.038105
23410,79939.218672,64200,0,750,750,64950,14989.218672
23445,51722.361274,38400,0,0,0,38400,13322.361274
23454,34917.723572,31200,0,0,0,31200,3717.7235717
23455,57870.407352,26232.88892,0,500,500,26732.88892,31137.518432
23460,75412.870468,36000,3100,1800,4900,40900,34512.870468
23466,226248.32936,50315.540959,0,3000,3000,53315.540959,172932.7884
23469,53770.29037,37200,0,500,500,37700,16070.29037
23473,50799.615899,43400,0,3000,3000,46400,4399.6158993
23474,139526.27997,90760,0,1800,1800,92560,46966.279971
23490,53910.235823,32400,0,0,0,32400,21510.235823
23497,58074.957631,39600,8000,4500,12500,52100,5974.9576312
23498,41084.676528,38000,2500,2000,4500,42500,-1415.323472
23527,39959.301873,21480,0,0,0,21480,18479.301873
23532,86855.061463,58800,0,700,700,59500,27355.061463
23536,20150,24720,0,0,0,24720,-4570
23552,63557.781703,56000,0,0,0,56000,7557.7817027
23598,17500,16800,0,0,0,16800,700
23675,13512.860967,15600,0,2000,2000,17600,-4087.139033
23680,115132.58294,56000,0,0,0,56000,59132.582944
23681,43130.443973,16200,0,0,0,16200,26930.443973
23683,68972.997582,44000,0,1000,1000,45000,23972.997582
23689,26105.542032,19104,0,0,0,19104,7001.5420321
23732,60158.082286,32100,0,700,700,32800,27358.082286
23762,18220.741593,16968,0,0,0,16968,1252.7415927
23797,32453.908799,33600,0,0,0,33600,-1146.091201
23798,19500,21780,0,0,0,21780,-2280
23821,38529.24024,25800,0,0,0,25800,12729.24024
23822,38111.558719,29400,0,10000,10000,39400,-1288.441281
23823,25050,21600,0,0,0,21600,3450
23831,57574.634837,50500,0,0,0,50500,7074.6348366
