NQUEST,NORD,YL2,YL1,YTP1,YTP2,YTA1,YTA2,YTA3,YCR1,YL,YTP,YTA,YT,YM1,YM2,YM,YCR2,YCR3,YCR,YCF1,YCF2,YCF3,YCF4,YCF,YC,Y
4370,1,0,40000,0,0,0,0,0,0,40000,0,0,0,3500,0,3500,0,24000,24000,546.06140579,0,1999.7534427,2080,465.81484854,24465.814849,67965.814849
4370,2,0,11000,0,0,0,0,0,0,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11000
4507,1,0,0,22100,0,0,0,0,0,0,22100,0,22100,0,0,0,0,12124.455855,12124.455855,668.61495541,0,0,7800,-7131.385045,4993.0708107,27093.070811
4507,2,0,0,4680,0,0,0,0,0,0,4680,0,4680,0,0,0,0,0,0,0,0,0,0,0,0,4680
4704,1,0,0,10800,0,0,0,0,0,0,10800,0,10800,0,0,0,0,1300,1300,55.152518998,0,0,0,55.152518998,1355.152519,12155.152519
4730,1,0,0,0,0,0,0,0,0,0,0,0,0,18000,500,17500,0,3600,3600,68.463225881,0,0,0,68.463225881,3668.4632259,21168.463226
4732,1,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,1200,1200,0,0,0,0,0,1200,21200
4939,1,0,0,0,0,0,0,0,0,0,0,0,0,13000,1000,12000,0,7800,7800,523.64080841,0,0,0,523.64080841,8323.6408084,20323.640808
4939,5,0,0,6500,0,0,0,0,0,0,6500,0,6500,0,0,0,0,0,0,0,0,0,0,0,0,6500
4941,1,0,700,0,0,3000,0,0,0,700,0,3000,3000,0,0,0,0,6000,6000,350.04605667,0,0,0,350.04605667,6350.0460567,10050.046057
4941,2,0,25000,0,0,0,0,0,0,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000
5027,1,0,12000,2400,0,0,0,0,0,12000,2400,0,2400,0,0,0,0,6000,6000,0,0,0,0,0,6000,20400
5028,1,0,21000,0,0,0,0,0,0,21000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21000
5416,1,0,19000,0,0,0,0,0,0,19000,0,0,0,0,0,0,0,0,0,56.278058801,0,0,0,56.278058801,56.278058801,19056.278059
