NQUEST,NORD,ATTIVP,PARTIME,TUTTANNO,MESILAV,DIMAZ,ORETOT,PSTRA,ORESTRA,YLM,INTEG,YLNM
24860,2,1,1,1,12,7,24,2,,25000,2,0
24912,1,1,1,1,12,7,36,1,0,22000,2,0
24912,2,1,1,1,12,3,45,2,,24000,2,0
24919,1,1,1,1,12,7,25,2,,29500,2,0
24924,1,1,2,1,12,2,20,2,,11000,2,0
24931,1,1,1,1,12,4,44,1,4,28000,2,0
24931,2,1,2,1,12,4,20,2,,14000,2,0
24940,1,1,1,1,12,4,40,2,,25000,2,0
24940,3,1,1,1,12,5,40,2,,18000,2,0
24942,1,1,1,1,12,7,42,1,6,25000,2,0
24947,1,1,1,1,12,3,50,1,10,22000,2,0
24948,1,1,1,1,12,4,44,1,4,18500,2,0
24974,1,1,1,1,12,3,40,2,,40000,2,0
24974,2,1,1,1,12,7,27,2,,24000,2,0
24984,1,1,1,1,12,5,36,1,2,28600,2,0
24984,2,1,1,1,12,1,40,2,,13000,2,0
25079,1,1,1,1,12,7,38,1,0,30000,2,0
25081,1,1,1,1,12,7,40,1,1,30000,2,0
25081,2,1,1,1,12,7,25,2,,25000,2,0
25128,1,1,1,1,12,7,36,1,0,26000,2,0
25128,2,1,2,1,12,7,24,2,,7200,2,0
25138,1,1,1,1,12,7,36,1,3,21000,2,0
25141,1,1,1,1,12,3,42,2,,28000,2,0
25148,1,1,1,1,12,6,37,1,1,36000,1,1200
25148,2,1,1,1,12,7,40,2,,25000,2,0
25238,1,1,1,1,12,6,40,2,,23500,2,0
25240,1,1,1,1,12,2,60,2,,26000,2,0
25245,1,1,1,2,7,,54,2,,20000,2,0
25425,1,1,1,1,12,3,46,1,4,19500,2,0
25425,2,1,1,1,12,3,40,2,,15000,2,0
25429,1,1,1,1,12,6,38,1,2,26000,2,0
25429,2,1,1,1,12,7,36,2,,22000,2,0
25435,1,1,1,1,12,6,36,1,10,30000,1,15000
25463,1,1,1,1,12,7,40,1,3,35000,1,
25602,1,1,1,1,12,7,38,1,2,30000,2,0
25602,2,1,1,1,12,2,50,2,,50000,2,0
25610,1,1,1,1,12,6,45,2,,80000,1,10000
25610,2,1,1,1,12,7,36,1,1,38000,2,0
25634,1,1,1,1,12,6,35,1,,26000,2,0
25681,1,1,1,1,12,2,60,2,,26000,2,0
25723,1,1,1,1,12,5,36,2,,23000,2,0
25727,1,1,1,1,12,6,36,1,18,23250,2,0
25753,1,1,1,1,12,7,18,2,,28000,2,0
25753,2,1,1,1,12,7,16,2,,27000,2,0
25754,3,1,1,1,12,7,36,2,,22500,1,1400
25759,1,1,1,1,12,7,36,2,,23000,1,300
25760,1,1,1,1,12,,42,2,,25000,2,0
25766,2,1,1,1,12,7,38,2,,35000,2,0
25767,2,1,1,1,12,2,60,2,,14400,2,0
25768,2,1,1,1,12,7,36,2,,23000,2,0
25842,1,1,1,2,5,2,42,1,8,15000,2,0
25883,2,1,1,1,12,5,36,2,,21000,2,0
25887,1,2,2,1,12,6,8,2,,5500,2,0
25887,2,1,1,1,12,7,30,2,,27000,2,0
25898,1,1,1,1,12,7,30,2,,21000,2,0
25898,2,1,1,1,12,3,40,2,,28000,2,0
25903,1,1,1,1,12,6,36,1,5,28000,2,0
25903,2,1,1,1,12,6,40,2,,24000,2,0
25903,3,1,1,2,6,5,40,2,,6600,2,0
25905,3,1,1,1,12,7,24,2,,17500,2,0
25905,4,1,1,1,12,1,40,2,,22000,2,0
25910,2,1,1,1,12,7,53,2,,28000,2,0
25914,1,1,1,1,12,7,36,2,,45500,2,0
25914,2,1,1,1,12,7,36,1,2,19500,2,0
25918,1,1,1,1,12,1,40,2,,20800,2,0
25918,2,1,1,1,12,5,39,2,,18600,2,0
25919,1,1,1,1,12,6,38,2,,55000,2,0
25919,2,1,1,1,12,7,36,1,,21400,2,0
25923,1,1,1,1,12,3,40,1,9,29000,2,0
25923,2,1,1,1,12,2,40,2,,27000,2,0
25923,3,1,1,2,3,2,40,2,,3900,2,0
25930,1,1,1,1,12,6,40,2,,30000,2,0
25930,3,1,1,2,6,6,40,2,,9000,2,0
25963,2,1,1,2,4,1,40,2,,6000,2,0
25964,3,1,1,2,4,7,15,2,,3700,2,0
25967,1,1,1,1,12,7,42,1,6,25000,2,0
25967,3,2,2,2,3,1,11,2,,1350,2,0
25968,2,1,1,1,12,5,25,2,,15000,2,0
25968,3,1,1,1,12,7,16,2,,24000,2,0
25973,1,1,1,1,12,7,36,2,,21000,2,0
25973,2,1,1,1,12,7,24,2,,23000,2,0
25975,1,1,2,1,12,6,25,2,,17000,2,0
26029,1,1,1,1,12,7,36,1,,23000,2,0
26040,3,1,1,1,12,3,40,2,,22000,2,0
26047,2,1,1,1,12,2,40,1,2,30000,2,0
26047,3,1,1,1,12,1,35,2,,18000,2,0
26161,4,1,1,1,12,3,40,2,,8400,2,0
26163,1,1,2,1,12,2,24,1,5,16000,2,0
26165,3,1,1,1,12,5,30,2,,18200,2,0
