NQUEST,NORD,LAVORO,PIND1,PIND2,PIND3,PPENS,ALTRED1,ALTRED2,ALTRED3,ALTRED4,ALL1,ALL2,ALL3,ALL4,ALL5,ALL6
293592,4,2,2,2,2,2,2,2,2,2,,,,,,
293595,1,2,2,2,2,1,2,2,2,2,,,,,5,
293595,2,2,2,2,2,1,2,2,2,2,,,,,5,
293602,1,1,1,2,2,2,2,2,2,2,1,2,,,,
293602,2,2,2,2,2,2,2,2,2,2,,,,,,
293602,3,2,2,2,2,2,2,2,2,2,,,,,,
293602,4,2,2,2,2,2,2,2,2,2,,,,,,
293609,1,2,2,2,2,1,2,2,2,2,,,,,5,
293609,2,2,2,2,2,1,2,2,2,2,,,,,5,
293609,3,2,2,2,2,1,2,2,2,2,,,,,5,
293621,1,1,2,2,2,2,2,2,2,2,1,,,,,
293621,2,2,2,2,2,2,2,2,2,2,,,,,,
293621,3,2,2,2,2,2,2,2,2,2,,,,,,
293632,1,2,2,2,2,2,2,2,2,1,,,,,,6
293632,2,2,2,2,2,2,2,2,2,2,,,,,,
293640,1,1,2,2,2,2,2,2,2,2,1,,,,,
293640,2,2,2,2,2,2,2,2,2,2,,,,,,
293640,3,2,2,2,2,2,2,2,2,2,,,,,,
293650,1,2,2,2,2,1,2,2,2,2,,,,,5,
293650,2,2,2,2,2,2,2,2,2,2,,,,,,
293655,1,1,2,2,2,2,2,2,2,2,1,,,,,
293655,2,2,2,2,2,2,2,2,2,2,,,,,,
293655,3,2,2,2,2,2,2,2,2,2,,,,,,
293655,4,2,2,2,2,2,2,2,2,2,,,,,,
293656,1,2,2,2,2,1,2,2,2,2,,,,,5,
293662,1,2,1,2,2,2,2,2,2,2,,2,,,,
293662,2,1,2,2,2,2,2,2,2,2,1,,,,,
293662,3,2,2,2,2,2,2,2,2,2,,,,,,
293662,4,2,2,2,2,2,2,2,2,2,,,,,,
293662,5,2,2,2,2,2,2,2,2,2,,,,,,
293662,6,2,2,2,2,2,2,2,2,2,,,,,,
293668,1,1,2,2,2,2,2,2,2,2,1,,,,,
293668,2,1,2,2,2,2,2,2,2,2,1,,,,,
293668,3,1,2,2,2,2,2,2,2,2,1,,,,,
293668,4,2,2,2,2,2,2,2,2,2,,,,,,
293670,1,2,2,2,2,2,2,2,2,2,,,,,,
293670,2,2,2,2,2,2,2,2,2,2,,,,,,
293670,3,2,2,2,2,2,2,2,2,2,,,,,,
293689,1,1,2,2,2,2,2,2,2,2,1,,,,,
293689,2,2,2,2,2,2,2,2,2,2,,,,,,
293689,3,2,2,2,2,2,2,2,2,2,,,,,,
293689,4,2,2,2,2,2,2,2,2,2,,,,,,
293689,5,2,2,2,2,2,2,2,2,2,,,,,,
293689,6,2,2,2,2,2,2,2,2,2,,,,,,
293690,1,2,2,2,2,1,2,2,2,2,,,,,5,
293690,2,2,2,2,2,2,2,2,2,2,,,,,,
293690,3,1,2,2,2,2,2,2,2,2,1,,,,,
293714,1,2,2,2,2,1,2,2,2,2,,,,,5,
293714,2,2,2,2,2,2,2,2,2,2,,,,,,
293715,1,2,2,2,2,1,2,2,2,2,,,,,5,
293715,2,2,2,2,2,2,2,2,2,2,,,,,,
293715,3,2,2,2,2,1,2,2,2,2,,,,,5,
293718,1,2,2,2,2,2,2,2,2,1,,,,,,6
