NQUEST,NORD,SITUAT,PENSVOL,PROBLAV,MINLAV,MAXLAV,PROBTEL,PROBLTX
29359,1,1,2,80,22000,24000,,70
29359,2,1,2,70,20000,22000,,70
29359,3,2,,80,18000,20000,,60
29359,4,2,,50,18000,20000,,
29428,1,1,2,90,14000,24000,,90
29440,1,1,2,100,45000,47000,,50
29447,1,1,2,100,39000,40000,,50
29454,1,1,2,100,35000,80000,,50
29456,1,2,,60,20000,25000,,70
29456,3,3,,50,15000,20000,,60
29456,4,3,,50,12000,15000,,70
29463,1,1,2,90,35000,40000,,10
29507,3,1,2,100,22000,23000,,30
29507,4,1,2,80,20000,22000,,10
29561,1,1,2,100,10000,50000,,20
29561,3,1,2,100,40000,50000,,20
29592,1,1,2,100,20000,30000,,40
29592,2,1,2,100,20000,20000,,0
29595,1,1,2,100,5000,10000,,60
29595,2,1,2,100,10000,20000,,50
29601,1,1,2,50,10000,12000,,90
29601,2,1,2,100,22000,26000,,50
29616,1,1,2,100,10000,20000,,50
29616,2,1,2,100,10000,20000,,50
29678,1,1,1,,,,,
29684,1,1,2,100,24000,25000,,100
29684,2,1,2,100,24000,26000,,100
29703,1,1,2,100,18000,20000,,50
29703,2,1,2,100,10000,15000,,50
29706,1,1,2,100,40000,42000,,10
29706,3,2,,50,3000,5000,3,50
29706,4,2,,70,25000,30000,4,50
29737,1,1,2,100,36000,36000,,
29737,2,1,2,100,24000,24000,,
29760,3,1,2,100,22000,23000,,50
29777,3,3,,10,18000,25000,,20
29798,3,1,2,100,23000,25000,3,20
29802,1,1,2,100,30000,35000,,10
29823,2,3,,10,10000,18000,,30
29823,3,1,2,70,18000,22000,,60
31030,2,3,,,,,,
31031,1,1,2,100,60000,70000,,90
31079,1,1,2,80,25000,30000,,40
31079,3,2,,70,13000,22000,,70
31084,3,1,2,90,,,3,
31090,2,1,2,100,22000,25000,,50
31090,3,1,2,100,20000,22000,,50
31094,3,1,2,80,40000,45000,3,50
31097,1,1,1,,,,,
31097,2,1,2,60,30000,35000,,40
31102,3,1,2,80,16000,18000,,20
31127,2,1,2,100,28000,29500,,0
31133,3,2,,50,14000,17000,,90
31138,1,1,2,100,30000,45000,,80
31149,1,1,2,90,15000,25000,,10
31149,2,2,,40,11000,15000,,50
31163,1,1,2,100,20000,40000,,50
31209,1,1,2,100,30000,50000,,0
31209,2,1,2,20,28000,28000,2,50
31219,2,2,,0,6000,12000,,100
31219,3,1,2,80,12000,18000,,70
31220,2,1,2,100,30000,30000,,60
31304,2,1,2,100,20000,40000,,70
31309,1,1,2,90,17000,17000,,50
31313,5,1,2,70,24000,28000,5,50
31356,1,1,1,,,,,
31356,2,1,2,90,15000,15000,,50
31356,3,1,2,90,,,,
31370,1,1,2,100,25000,30000,,20
31370,2,1,2,100,12000,17000,,30
31380,1,1,2,80,18000,22000,,20
31382,2,1,2,100,41000,45000,,40
31382,3,1,2,100,30000,32000,,30
31386,1,1,2,100,29000,32000,,60
31386,3,3,,20,18000,22000,,50
31387,1,1,2,90,31000,34000,,40
31403,3,1,2,60,20000,30000,3,10
31404,3,1,2,100,15000,18000,,10
31413,3,1,2,,,,,
31440,1,1,2,100,28000,30000,,50
31440,2,1,2,100,10000,15000,2,50
31442,1,1,2,100,70000,70000,,50
31443,1,1,2,100,27900,31000,,70
31454,1,1,2,100,120000,150000,,60
31454,2,1,2,100,20000,25000,,40
31466,2,1,2,100,20000,25000,,50
31466,3,1,2,100,18000,20000,,40
31468,1,1,2,80,20000,25000,,60
31468,2,1,2,100,15000,20000,,50
31469,2,1,2,100,20000,30000,,50
31473,1,1,1,,,,,
31473,3,1,2,100,25000,25000,,80
31473,4,1,2,100,25000,25000,,80
31546,1,1,2,100,40000,53000,,40
31546,2,1,2,100,14000,18000,2,20
31560,1,1,2,100,25000,28000,,60
31560,2,1,2,60,9000,12000,,70
31560,3,1,2,70,26000,28000,3,40
31603,1,1,1,,,,,
31603,3,3,,50,14000,17000,,50
31603,4,1,2,30,12000,16000,,10
31618,1,1,2,100,22000,22000,,100
31618,2,1,2,100,22000,22000,,100
31625,2,1,2,100,50000,55000,,60
31636,1,1,2,100,30000,32000,,50
31636,2,1,2,100,22000,25000,,20
31638,1,1,2,100,17000,17000,,100
31638,2,1,2,30,6000,15000,,30
31641,1,1,2,100,32000,34000,,100
31641,3,1,2,100,10000,12000,,80
31649,1,1,2,100,44000,45000,,100
31651,1,1,2,40,20000,25000,,30
31651,2,1,2,50,25000,30000,,30
31652,3,1,2,70,20000,22000,,50
31655,1,1,2,90,30000,35000,,30
31655,2,1,2,100,15000,16000,,50
31663,1,1,2,100,45000,50000,,60
31663,2,1,1,,,,,
31665,1,2,,80,10000,20000,,90
31665,3,2,,80,10000,20000,,90
31666,2,1,1,,,,,
31682,2,1,2,70,30000,30000,,100
31684,3,1,2,100,18000,20000,,50
31684,4,2,,50,12000,18000,,50
31686,1,1,2,100,40000,40000,,50
31686,2,2,,20,30000,30000,,50
31689,1,1,2,100,40000,50000,,30
31692,1,1,2,100,60000,60000,,50
31693,1,1,2,100,32000,35000,,50
31701,1,1,2,60,40000,50000,,30
31701,3,3,,50,,,,
31701,4,3,,50,,,,
31704,1,1,2,100,30000,35000,,30
31708,1,1,2,100,26000,27400,,60
31708,2,1,2,100,36000,37000,,70
31715,1,1,2,100,26000,27000,,70
31728,1,1,2,70,25000,28000,,50
31728,2,1,2,70,23000,25000,,50
31733,1,1,2,80,18000,19000,,50
31733,2,1,2,80,16500,17000,,50
31733,3,3,,30,18000,20000,,50
31736,3,1,2,80,22000,25000,,50
31738,1,1,2,80,24000,26000,,50
31738,2,1,2,100,26000,28000,,50
31740,1,1,2,80,18000,22000,,50
31740,2,1,2,80,18000,20000,,50
31745,1,1,2,100,30000,32000,,70
31751,1,1,2,100,36000,40000,,10
31752,2,1,2,100,26000,30000,,90
31752,3,1,2,100,20000,30000,3,50
31757,1,1,2,100,4000,6000,,40
31768,1,1,2,0,26000,26000,,
31768,2,1,2,0,23400,23400,,
31783,1,1,2,100,28000,28000,,50
31783,2,1,2,100,6000,6000,,50
31791,2,1,2,100,36000,56000,,80
31796,3,3,,50,18000,20000,,50
31799,2,1,2,100,18000,18500,,20
31801,1,1,2,60,18000,19000,,50
31801,3,1,2,60,15000,16000,,50
31801,4,3,,30,15000,16000,,50
31816,1,1,1,,,,,
31816,3,2,,50,12000,18000,,60
31816,4,1,2,50,12000,18000,,60
31856,1,1,2,0,12000,20000,,10
31856,3,3,,60,25000,30000,,50
31859,1,4,,,,,,
31869,1,1,2,60,24000,30000,,70
31869,3,3,,0,15000,20000,,100
31877,3,1,2,80,25000,30000,,70
31877,4,1,2,70,20000,22000,,50
31899,1,1,2,100,16000,18000,,20
31911,1,1,2,70,10000,15000,,60
31911,2,1,1,,,,,
31914,1,1,2,80,30000,40000,,50
31925,1,1,2,90,20000,25000,,50
32015,1,1,2,100,40000,45000,,30
32019,1,1,2,100,28000,28000,,50
32031,2,1,2,,,,,
32051,1,1,2,80,25000,35000,,60
32052,2,1,2,80,16000,16000,,40
32052,3,1,2,80,22000,25000,,20
32054,1,1,2,90,33000,42000,,80
32063,3,2,,,,,,
32089,1,1,2,20,28000,32000,,50
32089,2,1,2,80,25000,28000,,70
32092,1,1,2,,,,,
32135,2,1,2,90,20000,23000,2,80
32135,3,1,2,90,18000,20000,3,90
32136,1,1,2,0,25000,27000,,50
32136,2,1,2,0,20000,21000,,50
32139,1,1,2,100,30000,35000,,80
32139,2,1,2,90,22000,24000,,90
32144,1,1,1,,,,,
32145,1,1,2,90,26000,28000,,90
32159,1,1,2,90,30000,40000,,40
32161,1,1,2,50,20000,30000,,30
32161,2,1,2,50,10000,20000,,20
32166,1,1,2,80,15000,20000,,60
32180,1,1,2,100,21000,25000,,60
32180,2,1,2,100,10000,15000,,70
32190,1,1,2,100,25000,30000,,30
32206,1,1,2,100,24000,26000,,50
32220,1,1,2,80,12000,14000,,70
32234,1,1,2,90,19000,21000,,50
32240,1,1,2,100,70000,80000,,50
32262,1,1,2,60,16000,18000,,40
32262,2,2,,60,12000,15000,,50
32275,4,1,2,90,30000,32000,,50
32284,1,1,2,100,60000,62000,,40
32285,1,4,,,,,,
32319,1,1,2,100,42000,60000,,30
32334,2,2,,10,,,,
32339,4,1,2,100,19000,19000,,40
32340,1,1,2,100,30000,50000,,80
32340,2,2,,0,1000,1000,,100
32349,1,1,2,100,25000,26000,,20
32432,1,1,2,100,,,,
32432,2,1,2,100,26000,30000,,30
32438,3,3,,20,17000,25000,3,20
32439,1,1,2,100,26000,27000,,100
32439,3,1,2,50,17000,17000,,50
32464,1,2,,20,10000,15000,,30
32464,2,1,2,20,15000,20000,,30
32464,3,1,2,30,15000,20000,,20
32470,2,2,,20,15000,20000,,10
32471,2,1,2,30,18000,22000,2,10
32472,2,1,2,100,35000,42000,,30
32481,1,1,2,0,60000,80000,,20
32481,2,1,2,0,30000,40000,,20
32482,1,1,2,0,30000,40000,,20
32484,1,1,2,0,40000,50000,,20
32494,1,1,2,0,20000,30000,,20
32494,2,1,2,0,20000,30000,,20
32494,3,3,,20,18000,25000,,30
32500,1,1,2,0,20000,30000,,10
32500,2,1,2,0,20000,30000,,10
32524,2,1,2,100,27000,28000,,40
32556,1,1,2,100,21600,24000,,100
32579,1,1,2,100,30000,32000,,10
32579,2,1,2,100,20000,20000,2,0
32579,3,1,2,100,8000,9000,,0
32579,4,1,2,100,13000,15000,,10
32601,1,1,2,80,40000,40000,,50
32602,1,1,2,50,19500,39000,,80
32628,1,1,2,30,15000,30000,,30
32628,2,1,2,40,4000,20000,,50
32630,1,1,2,0,21000,23000,,80
32630,2,1,2,90,500,1000,,50
32645,1,1,2,100,40000,45000,,0
32649,1,1,2,100,26000,26000,,100
32651,1,1,2,100,20000,24000,,50
32651,2,2,,60,2000,3000,2,40
32651,3,1,2,,,,,
32656,1,1,2,100,22000,24000,,50
32656,2,2,,70,1000,2000,,10
32658,3,1,2,100,20000,26000,3,30
32658,5,3,,20,12000,14000,5,90
32663,1,1,2,100,20000,26000,,40
32668,3,3,,20,8000,12000,3,90
32669,1,1,2,100,22000,28000,,50
32669,3,3,,,,,3,
32678,1,1,2,100,22000,26000,,80
32684,1,1,2,100,26000,30000,,40
32685,3,2,,80,15000,20000,3,80
32685,4,1,2,40,5000,14000,,80
32691,2,1,2,90,16000,20000,2,40
32691,3,1,2,60,11000,14000,3,50
32703,1,1,2,100,30000,35000,,50
32703,2,1,2,100,30000,35000,,50
32703,3,1,2,90,14000,18000,,50
