NQUEST,Y,YL,YL1,YL2,YT,YTP,YTP1,YTP2,YTA,YTA1,YTA2,YTA3,YM,YM1,YM2,YC,YCR,YCR1,YCR2,YCR3,YCF,YCF1,YCF2,YCF3,YCF4
36550,54644.065469,50000,50000,0,0,0,0,0,0,0,0,0,0,0,0,4644.065469,8500,0,0,8500,-3855.934531,44.065469002,0,0,3900
36553,13549.714102,0,0,0,4000,0,0,0,4000,0,0,4000,7000,7000,0,2549.7141018,2400,0,0,2400,149.71410177,149.71410177,0,0,0
36554,33159.98427,24200,24000,200,8850,5850,5850,0,3000,0,0,3000,0,0,0,109.98427012,0,0,0,0,109.98427012,109.98427012,0,0,0
36558,41147.013811,38000,38000,0,0,0,0,0,0,0,0,0,0,0,0,3147.0138108,2000,0,0,2000,1147.0138108,506.66775354,640.34605727,0,0
36565,35135.015023,0,0,0,22126,22126,22126,0,0,0,0,0,0,0,0,13009.015023,12000,0,0,12000,1009.0150233,1009.0150233,0,0,0
36566,45119.689263,23000,23000,0,0,0,0,0,0,0,0,0,12380.273549,13000,619.72645125,9739.4157144,9600,0,0,9600,139.41571436,139.41571436,0,0,0
36567,31647.440071,0,0,0,23400,23400,23400,0,0,0,0,0,0,0,0,8247.4400712,6000,0,0,6000,2247.4400712,1343.7304613,0,903.70960988,0
36592,28317.986717,0,0,0,7800,7800,7800,0,0,0,0,0,0,0,0,20517.986717,15650,0,6000,9650,4867.9867166,935.16746043,0,3932.8192562,0
36594,31283.104513,0,0,0,19890,19890,19890,0,0,0,0,0,0,0,0,11393.104513,10900,0,0,10900,493.10451262,493.10451262,0,0,0
36595,39124.458197,34000,34000,0,0,0,0,0,0,0,0,0,0,0,0,5124.4581974,4800,0,0,4800,324.45819736,324.45819736,0,0,0
36596,15600,0,0,0,15600,15600,15600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36597,46974.078562,35000,35000,0,7150,7150,7150,0,0,0,0,0,0,0,0,4824.0785625,4800,0,0,4800,24.078562494,7.0975531671,0,16.981009327,0
36616,10500,0,0,0,3500,0,0,0,3500,0,0,3500,7000,7000,0,0,0,0,0,0,0,0,0,0,0
36622,36400,14000,14000,0,13400,13400,13400,0,0,0,0,0,0,0,0,9000,9000,0,0,9000,0,0,0,0,0
36627,90366.811413,73000,73000,0,9750,9750,9750,0,0,0,0,0,0,0,0,7616.8114126,6500,0,2000,4500,1116.8114126,628.25092881,488.56048383,0,0
36628,40970.508311,0,0,0,30600,0,0,0,30600,0,0,30600,9500,9500,0,870.5083112,0,0,0,0,870.5083112,870.5083112,0,0,0
36639,9800,0,0,0,9800,0,0,0,9800,0,0,9800,0,0,0,0,0,0,0,0,0,0,0,0,0
36641,20160.800919,0,0,0,20150,20150,20150,0,0,0,0,0,0,0,0,10.800918532,0,0,0,0,10.800918532,10.800918532,0,0,0
36642,15600,15600,15600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36646,26060.619018,26000,26000,0,0,0,0,0,0,0,0,0,0,0,0,60.619017845,0,0,0,0,60.619017845,60.619017845,0,0,0
36647,49666.490659,40000,40000,0,0,0,0,0,0,0,0,0,0,0,0,9666.4906587,9600,0,0,9600,66.490658718,261.49065872,0,0,195
36652,16900,0,0,0,16900,16900,16900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36655,37725.422849,0,0,0,0,0,0,0,0,0,0,0,25000,25000,0,12725.422849,12000,0,0,12000,725.4228491,725.4228491,0,0,0
36688,25283.989157,18000,18000,0,7200,7200,7200,0,0,0,0,0,0,0,0,83.989157232,0,0,0,0,83.989157232,83.989157232,0,0,0
