NQUEST,DEPBANC,DEPBANR,DEPPOSC,DEPPOSR,NDEPBANC,NDEPBANR,NDEPPOSC,NDEPPOSR,IDEPBANC,IDEPBANR,IDEPPOSC,IDEPPOSR,UNABAN,BANCHE,ANNIBAN,PREFBA1,PREFBA2,PREFBA3,PREFBA4,PREFBA5,PREFBA6,PREFBA7,PREFBA8,PREFBA9,PREFBA10,TAXCC,TAXCC2,SCOPER,TSCOPER,ASSBAN,NASSBAN,ASSBANE1,ASSBANE2,ASSBANE3,PAGAM3U,PAGAM2U,PAGAM5U,PAGAM6U,MOTNAD1,MOTNAD2,MOTNAD3,MOTNAD4,MOTNAD5,MOTNAD6,MOTNAD7,MOTNAD8,MOTNAD9,PAGAM1U,PAGAM1,BONIFIE1,BONIFIE2,BONIFIE3,BANCOMAT,NBANCOMA,NPREL1,PRELMED1,BANCOME1,BANCOME2,BANCOME3,PAGAM4U,PAGAM4,POSE1,POSE2,POSE3,CARTA,CARTE,PCARTE,NPAGCART,CARTEE1,CARTEE2,CARTEE3,MINCON,NPREL2,PRELMED2,PRELE1,PRELE2,PRELE3,VERSAM,NVERS,VERSMED,VERSE1,VERSE2,VERSE3,PAGENT1,PAGENT2,PAGENT3,PAGENT4,PAGENT5,QPAGENT1,QPAGENT2,QPAGENT3,QPAGENT4,QPAGENT5,SCORTA,SPESECON
323075,1,2,2,2,1,,,,1,,,,1,1,1,1,,,,,1,,,,,,3,1,2000,1,3,,,,1,2,2,2,,,,,,,,,,2,0,,,,1,1,2,300,,,,1,0.25,,,,2,0,0,,,,,0,0,,,,,2,0,,,,,1,2,1,2,2,20,0,80,0,0,500,1500
323077,1,2,2,2,2,,,,2,,,,2,2,3,1,,,,,,,,,,,2,2,0,2,0,,,,1,1,2,2,,,,,,,,,,2,0,,,,1,2,4,500,,,,1,2,,,,2,0,0,,,,,150,2,1000,,,,2,0,,,,,2,1,2,2,2,0,100,0,0,0,300,2000
323079,1,2,2,2,1,,,,2,,,,1,1,4,,,,,,,1,,,,,1,1,3000,1,2,,,,1,1,2,2,,,,,,,,,,2,0,,,,1,1,0.3333333333,,,,,2,0,,,,2,0,0,,,,,200,1,1000,,,,2,0,,,,,2,1,2,2,2,0,100,0,0,0,400,1000
324097,1,2,2,2,1,,,,2,,,,1,1,3,1,,,,1,,1,,,,5.5,,3,,2,0,,,,2,2,2,2,0,0,0,1,0,0,0,0,0,2,0,,,,2,0,,,,,,,,,,,2,0,0,,,,,1000,4,500,,,,1,20,500,,,,2,1,2,2,2,0,100,0,0,0,1500,4000
324136,1,2,2,2,2,,,,2,,,,2,2,4,,,,,,,,1,,,,3,2,0,1,6,,,,1,2,2,2,,,,,,,,,,2,0,,,,1,1,10,500,,,,2,0,,,,1,1,1,10,,,,1,0,,,,,1,50,1000,,,,2,1,2,2,2,0,100,0,0,0,2000,5000
324151,1,2,2,2,2,,,,2,,,,2,2,4,,,,,,,1,,,,,4,1,2500,1,1,,,,2,2,1,2,0,1,0,0,0,0,0,0,0,2,0,,,,1,2,4,700,,,,2,0,,,,1,1,1,0.5,,,,100,0,,,,,2,0,,,,,2,1,1,2,2,0,90,10,0,0,500,2800
324157,1,2,2,2,2,,,,2,,,,1,1,4,,,,1,,,1,,,,,3,1,3000,1,4,,,,2,2,2,1,0,1,0,0,0,0,0,0,0,2,0,,,,1,1,3,500,,,,2,0,,,,2,0,0,,,,,300,2,1000,,,,1,12,700,,,,1,1,1,2,2,10,80,10,0,0,1000,2000
324243,1,2,2,2,1,,,,1,,,,1,1,4,,,,1,,1,,,,,,6,2,0,1,3,,,,2,2,2,2,0,0,0,0,0,0,1,0,0,2,0,,,,1,1,1,400,,,,2,0,,,,2,0,0,,,,,300,2,500,,,,1,10,500,,,,1,2,1,2,2,20,0,80,0,0,500,3000
324244,1,2,2,2,1,,,,2,,,,1,1,4,1,,,,,,1,,,,,6,1,,1,1,,,,2,2,2,2,0,0,0,0,0,0,1,0,0,2,0,,,,1,1,3,500,,,,2,0,,,,2,0,0,,,,,300,0,,,,,2,0,,,,,1,1,2,2,2,35,65,0,0,0,500,3500
324258,1,2,2,2,1,,,,1,,,,1,1,4,1,,,,,,1,,,,,6,3,,1,1,,,,2,2,2,2,0,0,0,1,0,0,0,0,0,2,0,,,,2,0,,,,,,,,,,,2,0,0,,,,,200,1,500,,,,1,3,1000,,,,1,2,2,2,2,100,0,0,0,0,400,2500
324294,2,1,2,2,,1,,,,1,,,1,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,1,1000,,,,2,0,,,,,1,2,2,2,2,100,0,0,0,0,100,900
324306,1,2,2,2,1,,,,1,,,,1,1,3,,,,,,1,,,,,,6,2,0,1,0.75,,,,2,2,1,2,0,0,0,0,0,0,0,1,0,2,0,,,,2,0,,,,,,,,,,,1,1,1,0.75,,,,300,1,2000,,,,2,0,,,,,1,2,2,2,2,100,0,0,0,0,300,1300
324320,1,2,2,2,1,,,,2,,,,1,1,4,1,,,,1,,,,,,,4,1,3000,1,2,,,,2,2,2,2,0,0,0,0,0,1,0,0,0,2,0,,,,1,1,5,500,,,,2,0,,,,2,0,0,,,,,0,0,,,,,1,2,1500,,,,1,1,1,2,2,5,90,5,0,0,500,3000
324326,1,2,2,2,1,,,,2,,,,1,1,2,1,,,,,,,,,,,6,1,3000,1,2,,,,1,2,2,2,,,,,,,,,,2,0,,,,1,1,2,500,,,,2,0,,,,2,0,0,,,,,300,1,1000,,,,2,0,,,,,2,1,2,2,2,0,100,0,0,0,300,1000
